"Segments","Segmentos"
"Add Segment","Adicionar o segmento"
"Are you sure you want to do this?","Deseja realmente fazer isso?"
"Refresh Segment Data","Atualizar dados do segmento"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Edit Segment '%1'","Editar o segmento '%1'"
"New Segment","Novo segmento"
"Segment Information","Informação por segmentos"
"Conditions","Condições"
"* applicable to visitors and registered customers","* Aplicável aos visitantes e clientes registrados"
"General Properties","Propriedades gerais"
"Segment Name","Nome do segmento"
"Description","Descrição"
"Assigned to Website","Atribuído ao Website"
"Status","Situação"
"Active","Ativo"
"Inactive","Inativo"
"Apply To","Aplicar a"
"Visitors and Registered Customers","Visitantes e Clientes"
"Registered Customers","Clientes Registrados"
"Visitors","Visitantes"
"Please save this information to specify segmentation conditions.","Por favor, salve essas informações para especificar as condições de segmentação."
"Matched Customers (%1)","Clientes correspondentes (%1)"
"ID","Id."
"Segment","Segmento"
"Website","Site"
"Customer Segment Report","Relatório segmento de clientes"
"Customer Segment Report '%1'","Relatório Segmento de Cliente '%1'"
"Customer Segments Report","Relatório de segmentos de cliente"
"Back","Voltar"
"From","De"
"To","Até"
"Please request the correct customer segment.","Por favor, solicite o segmento correto de cliente."
"You deleted the segment.","Você excluiu o segmento."
"Unable to delete the segment.","Não é possível excluir o segmento."
"Customer Segments","Segmentação de Clientes"
"Edit Segment","Editar Segmento"
"Segment Customers matching error","Todos"
"You saved the segment.","Você salvou o segmento."
"We can't save the segment right now.","Nesse momento, não foi possível salvar o segmento."
"Reports","Relatórios"
"Customers","Clientes"
"Viewing combined ""%1"" report from segments: %2.","todo."
"Details","Detalhes"
"The Customer Segment data has been refreshed.","Os dados do segmento de cliente serão atualizados."
"Union","União"
"Intersection","Interseção"
"All","Todos"
"Specified","Especificado"
"Applies to All of the Specified Customer Segments","Aplica-se a todos os segmentos de cliente especificados"
"Apply to the Selected Customer Segments","Todos"
"contains","contém"
"does not contains","não contém"
"Matched %1 Customers of Segment %2","Todos"
"Unknown operator specified.","O operador especificado é desconhecido."
"Conditions Combination","Combinação de Condições"
"Customer Address","Endereço do cliente"
"Product List","Lista de Produtos"
"Product History","Histórico de produtos"
"Products","Produtos"
"Wrong ""ApplyTo"" type","O tipo de ""ApplyTo"" esta incorreto"
"Customer","Cliente"
"If Customer Addresses match %1 of these Conditions:","Se o endereço dos clientes correspondem %1 dessas condições:"
"Address Attributes","Atributos de endereço"
"Customer Address %1","Endereço de cliente: %1"
"Default Address","Endereço padrão"
"Billing","Cobrança"
"Shipping","Frete"
"Customer Address %1 Default %2 Address","Endereço do cliente endereço %1 padrão %2"
"Has State/Province","Tem estado/província"
"If Customer Address %1 State/Province specified","Se especificado cliente endereço %1 estado/província"
"has","tem"
"does not have","não tem"
"exists","existe"
"does not exist","não existe"
"Customer %1","Cliente %1"
"Newsletter Subscription","Assinar Newsletter"
"Customer is %1 to newsletter.","Cliente é %1 a newsletter."
