"Segments","بخش ها"
"Add Segment","افزودن بخش"
"Are you sure you want to do this?","آیا مطمئنید که می خواهید این کار را انجام دهید؟"
"Refresh Segment Data","به روز رسانی داده های بخش"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Edit Segment '%1'","ویرایش بخش '%1'"
"New Segment","بخش جدید"
"Segment Information","اطلاعات بخش"
"Conditions","شرایط"
"* applicable to visitors and registered customers","* قابل اجرا برای بازدید کنندگان و مشتریان ثبت شده"
"General Properties","مشخصات عمومی"
"Segment Name","نام بخش"
"Description","توصیف"
"Assigned to Website","اختصاص داده شده به وب سایت"
"Status","وضعيت"
"Active","فعال"
"Inactive","غیرفعال"
"Apply To","اعمال برای"
"Visitors and Registered Customers","بازدید کنندگان و مشتریان ثبت شده"
"Registered Customers","مشتریان ثبت نام شده"
"Visitors","بازدید کنندگان"
"Please save this information to specify segmentation conditions.","لطفا این اطلاعات را برای مشخص کردن شرایط تقسیم بندی ذخیره کنید."
"Matched Customers (%1)","مشتریان همسان (%1)"
"ID","شناسه"
"Segment","بخش"
"Website","وب سایت"
"Customer Segment Report","گزارش بخش مشتری"
"Customer Segment Report '%1'","گزارش بخش مشتری '%1'"
"Customer Segments Report","گزارش بخش مشتریان"
"Back","بازگشت"
"From","از"
"To","به"
"Please request the correct customer segment.","لطفا بخش صحیح مشتری را درخواست کنید."
"You deleted the segment.","شما بخش را حذف کردید."
"Unable to delete the segment.","بخش نمی تواند حذف شود."
"Customer Segments","بخش های مشتریان"
"Edit Segment","ویرایش بخش"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We can't save the segment right now.","اکنون نمی توانیم این مورد را به ذخیره کنیم."
"Reports","گزارش‌ ها"
"Customers","مشتریان"
"Viewing combined ""%1"" report from segments: %2.","مشاهده گزارش ترکیبی ""%1"" از بخش های: %2."
"Details","جزئیات"
"The Customer Segment data has been refreshed.","داده بخش مشتری به روز رسانی شده است."
"Union","اتحادیه"
"Intersection","تقاطع"
"All","همه"
"Specified","مشخص شده"
"Applies to All of the Specified Customer Segments","به تمام بخش های مشخص شده مشتری اعمال می شود"
"Apply to the Selected Customer Segments","به بخش مشتری انتخاب شده اعمال می شود"
"contains","شامل"
"does not contains","شامل نمی شود"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Unknown operator specified.","اپراتور ناشناس مشخص شد."
"Conditions Combination","ترکیب شرط‌ها"
"Customer Address","آدرس مشتری"
"Product List","لیست محصولات"
"Product History","تاریخچه محصولات"
"Products","محصولات"
"Wrong ""ApplyTo"" type","نوع ""اعمال"" اشتباه"
"Customer","مشتری"
"If Customer Addresses match %1 of these Conditions:","اگر آدرس مشتری با %1 از این شرایط مطابقت داشت:"
"Address Attributes","ویژگی های آدرس"
"Customer Address %1","آدرس مشتری %1"
"Default Address","آدرس پیش فرض"
"Billing","صورتحساب"
"Shipping","ارسال"
"Customer Address %1 Default %2 Address","آدرس مشتری %1 ، %2 آدرس پیش فرض دارد"
"Has State/Province","استان / شهرستان دارد"
"If Customer Address %1 State/Province specified","اگر در آدرس مشتری %1 استان / شهرستان مشخص شده باشد"
"has","دارد"
"does not have","ندارد"
"exists","وجود دارد"
"does not exist","وجود ندارد"
"Customer %1","مشتری %1"
"Newsletter Subscription","اشتراک خبرنامه"
"Customer is %1 to newsletter.","مشتری %1 در خبرنامه می باشد."
"subscribed","عضو شده است"
"not subscribed","عضو نشده است"
"Store Credit","اعتبار فروشگاه"
"Customer Store Credit Amount %1 %2:","مقدار اعتبار فروشگاهی مشتری %1 %2:"
"Date Range","محدوده تاریخ"
"Open Chooser","باز کردن انتخاب کننده"
"Date Range %1 within %2","محدوده تاریخ %1 در %2"
"If Order Addresses match %1 of these Conditions:","اگر آدرس های سفارش با %1 شرط مطابقت داشته باشد:"
"Order Address Attributes","ویژگی های آدرس سفارش"
"Order Address %1","آدرس سفارش %1"
"Address Type","نوع آدرس"
"Order Address %1 a %2 Address","آدرس سفارش %1 یک آدرس %2 است"
"Order Status","وضعيت سفارش"
"Any","هرکدام"
"Order Status %1 %2:","وضعیت سفارش %1 %2:"
"Product Attributes","ویژگی‌ های محصول"
"Product %1","محصول %1"
"Date Ranges","محدوده تاریخ"
"viewed","بازدید شده"
"ordered","سفارش داده شده"
"was","بود"
"was not","نبود"
"If Product %1 %2 and matches %3 of these Conditions:","اگر محصول %1 %2 و با %3 شرط مطابقت داشته باشد:"
"Shopping Cart","سبد خرید"
"Wish List","لیست علاقه مندی"
"found","یافت شد"
"not found","یافت نشد"
"If Product is %1 in the %2 with %3 of these Conditions match:","اگر محصول %1 در %2 با %3 شرط مطابقت داشته باشد:"
"Order Address","آدرس سفارش"
"Sales Amount","میزان فروش"
"Number of Orders","تعداد سفارشات"
"Purchased Quantity","تعداد خریداری شده"
"Sales","حراجی ها"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 در حالی که با %5 شرط مطابقت دارد:"
"Total","مجموع"
"Average","میانگین"
"If Customer Segment %1 %2","اگر بخش مشتری %1 %2"
"matches","مطابقت دارد"
"does not match","مطابقت ندارد"
"is one of","هست یکی از"
"is not one of","نیست یکی از"
"Shopping Cart Total","مجموع سبد خرید"
"Subtotal","جمع جز"
"Grand Total","جمع کل نهایی"
"Tax","مالیات"
"Gift Card","کارت هدیه"
"Shopping Cart %1 Amount %2 %3:","سبد خرید %1 مقدار %2 %3:"
"Unknown quote total specified.","Unknown quote total specified."
"Number of Cart Line Items","تعداد موارد سبد خرید"
"Number of Shopping Cart Line Items %1 %2:","تعداد موارد سبد خرید %1 %2:"
"Products Quantity","تعداد محصولات"
"Shopping Cart Products Qty %1 %2:","تعداد محصولات سبد خرید %1 %2:"
"equals or greater than","برابر یا بزرگ‌تر از"
"equals or less than","برابر یا کم‌تر از"
"greater than","بزرگ‌تر از"
"less than","کمتر از"
"Up To Date","تا تاریخ"
"Period %1 %2 Days Up To Date","دوره %1 %2 روز تا تاریخ"
"Customer Segment","بخش مشتری"
"Use in Customer Segment","استفاده در بخش مشتری"
"Please choose a condition to add.","لطفا یک شرط برای افزودن انتخاب کنید."
"Enable Customer Segment Functionality","فعالسازی قابلیت عملکرد بخش مشتری"
"Refresh Data","به روز رسانی داده"
"Manage Segments","مدیریت بخش ها"
"All Websites","همه‌ی وب‌سایت‌ها"
"CSV","CSV"
"Excel XML","اکسل XML"
"Name","نام"
"Email","ايميل"
"Group","گروه"
"Phone","تلفن"
"ZIP","کد پستی"
"Country","كشور"
"State/Province","استان / شهرستان"
"Customer Since","مشتری از زمان"
"View Combined Report","مشاهده گزارش ترکیبی"
"Set","تنظیم"
"We're unable to delete the segement.","We're unable to delete the segement."
"Custom Condition","Custom Condition"
"The quote total specified is unknown. Verify the total and try again.","The quote total specified is unknown. Verify the total and try again."
