"Segments","Segmenty"
"Add Segment","Dodaj segnemt"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Refresh Segment Data","Odśwież dane segmentu"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Edit Segment '%1'","Edytuj Segment '%1'"
"New Segment","Nowy segment"
"Segment Information","Informacje o segmencie"
"Conditions","Warunki"
"* applicable to visitors and registered customers","* dotyczy Gości i zarejestrowanych klientów"
"General Properties","Ogólne właściwości"
"Segment Name","Nazwa segmentu"
"Description","Opis"
"Assigned to Website","Przypisane do witryny"
"Status","Stan"
"Active","Aktywny"
"Inactive","Nieaktywny"
"Apply To","Zastosuj do"
"Visitors and Registered Customers","Goście i zarejestrowani klienci"
"Registered Customers","Zarejestrowani klienci"
"Visitors","Odwiedzający"
"Please save this information to specify segmentation conditions.","Prosimy o zapisanie tych informacji do określenia warunków segmentacji."
"Matched Customers (%1)","Dopasowano klientów (%1)"
"ID","Identyfikator"
"Segment","Segment"
"Website","Witryna"
"Customer Segment Report","Raport o segmencie klienckim"
"Customer Segment Report '%1'","Raport o segmencie klienta '%1'"
"Customer Segments Report","Raport o segmentach klienckich"
"Back","Powrót"
"From","Od"
"To","Do"
"Please request the correct customer segment.","Proszę o zapytanie o poprawny segment klienta."
"You deleted the segment.","Usunąłeś segment."
"Unable to delete the segment.","Nie można usunąć segmentu."
"Customer Segments","Segmenty klienckie"
"Edit Segment","Edytuj Segment"
"Segment Customers matching error","Błąd dopasowania klientów segmentu"
"You saved the segment.","Zapisałeś segment."
"We can't save the segment right now.","Nie możemy teraz zapisać tego segmentu."
"Reports","Raporty"
"Customers","Klienci"
"Viewing combined ""%1"" report from segments: %2.","Wyświetlanie łącznego ""%1"" raportu z segmentów: %2."
"Details","Szczegóły"
"The Customer Segment data has been refreshed.","Dane segmentu klientów zostały odświeżone."
"Union","Związek"
"Intersection","Część wspólna"
"All","Wszystko"
"Specified","Wybrane"
"Applies to All of the Specified Customer Segments","Odnosi się do wszystkich wyszczególnionych segmentów klienckich"
"Apply to the Selected Customer Segments","Zastosuj do wybranych segmentów klienckich"
