"Segments","Segmentos"
"Add Segment","Adicionar Segmento"
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Refresh Segment Data","Atualizar Dados do Segmento"
"Save and Continue Edit","Gravar e Continuar Edição"
"Edit Segment '%1'","Editar Segmento '%1'"
"New Segment","Novo Segmento"
"Segment Information","Informação do Segmento"
"Conditions","Condições"
"* applicable to visitors and registered customers","*aplicável a visitantes e clientes registados"
"General Properties","Propriedades Gerais"
"Segment Name","Nome do Segmento"
"Description","Descrição"
"Assigned to Website","Atribuído ao Sítio"
"Status","Estado"
"Active","Ativo"
"Inactive","Inativo"
"Apply To","Aplicar a"
"Visitors and Registered Customers","Visitantes e Clientes Registados"
"Registered Customers","Clientes Registados"
"Visitors","Visitantes"
"Please save this information to specify segmentation conditions.","Por favor gravar estas informações para especificar as condições de segmentação."
"Matched Customers (%1)","Clientes Correspondentes (%1)"
"ID","Id."
"Segment","Segmento"
"Website","Site"
"Customer Segment Report","Relatório do Segmento do Cliente"
"Customer Segment Report '%1'","Relatório de segmento de cliente '%1'"
"Customer Segments Report","Relatório de Segmentos de Cliente"
"Back","Voltar"
"From","De"
"To","Para"
"Please request the correct customer segment.","Por favor solicite o segmento de cliente correcto."
"You deleted the segment.","Segmento Excluído."
"Unable to delete the segment.","Não é possível excluir o segmento."
"Customer Segments","Segmentos de Cliente"
"Edit Segment","Editar o Segmento"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We can't save the segment right now.","De momento, não foi possível guardar o segmento."
"Reports","Relatórios"
"Customers","Clientes"
"Viewing combined ""%1"" report from segments: %2.","Visualização combinada do relatório ""%1"" dos segmentos: %2."
"Details","Detalhes"
"The Customer Segment data has been refreshed.","Os dados do Segmento de Cliente foram atualizados."
"Union","União"
"Intersection","Interseção"
"All","Todos"
"Specified","Especificado"
"Applies to All of the Specified Customer Segments","Aplica-se a Todos os Segmentos de Cliente especificados"
"Apply to the Selected Customer Segments","Aplicar aos Segmentos de Cliente selecionados"
"contains","contém"
"does not contains","não contém"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Unknown operator specified.","O operador especificado é desconhecido."
