"Segments","Segmenti"
"Add Segment","Aggiungi segmento"
"Are you sure you want to do this?","Sicuro di volerlo fare?"
"Refresh Segment Data","Aggiorna dati segmento"
"Save and Continue Edit","Salva e continua modifica"
"Edit Segment '%1'","Modifica segmento '%1'"
"New Segment","Nuovo segmento"
"Segment Information","Informazioni segmento"
"Conditions","Condizioni"
"* applicable to visitors and registered customers","* applicabile ai visitatori e agli utenti registrati"
"General Properties","Proprietà generali"
"Segment Name","Nome segmento"
"Description","Descrizione"
"Assigned to Website","Assegnato al sito Web"
"Status","Stato"
"Active","Attiva"
"Inactive","Inattivo"
"Apply To","Applica a"
"Visitors and Registered Customers","Visitatori e utenti registrati"
"Registered Customers","Clienti registrati"
"Visitors","Visitatori"
"Please save this information to specify segmentation conditions.","Salvare queste informazioni per specificare condizioni di segmentazione."
"Matched Customers (%1)","Clienti corrispondenti (%1)"
"ID","ID"
"Segment","Segmento"
"Website","Sito Web"
"Customer Segment Report","Report Segmento cliente"
"Customer Segment Report '%1'","Report Segmento cliente '%1'"
"Customer Segments Report","Report Segmenti cliente"
"Back","Indietro"
"From","Dal"
"To","Al"
"Please request the correct customer segment.","Richiedere il segmento cliente corretto."
"You deleted the segment.","Il segmento è stato eliminato."
"Unable to delete the segment.","Impossibile eliminare il segmento."
"Customer Segments","Segmenti cliente"
"Edit Segment","Modifica segmento"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We can't save the segment right now.","Al momento è impossibile salvare il segmento."
"Reports","Reports"
"Customers","Clienti"
"Viewing combined ""%1"" report from segments: %2.","Visualizzazione combinazione ""%1"" report da segmenti: %2."
"Details","Dettagli"
"The Customer Segment data has been refreshed.","I dati del segmento del cliente sono stati aggiornati."
"Union","Unione"
"Intersection","Intersezione"
"All","Tutti"
"Specified","Specificato"
"Applies to All of the Specified Customer Segments","Si applica a tutti i segmenti del cliente specificati"
"Apply to the Selected Customer Segments","Si applica ai segmenti del cliente selezionati"
"contains","contiene"
"does not contains","non contiene"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Unknown operator specified.","Operatore specificato sconosciuto."
"Conditions Combination","Combinazione di condizioni"
"Customer Address","Indirizzo cliente"
"Product List","Elenco prodotti"
"Product History","Cronologia prodotto"
"Products","Prodotti"
