"Related Search Terms","Podobne zapytania"
"Add New Search Term","Dodaj nową frazę wyszukiwania"
"button_label","button_label"
"Missing search engine parameter.","Brakujący parametr wyszukiwarki."
"Successful! Test again?","Sukces! Powtórzyć test?"
"Connection failed! Test again?","Połączenie nie powiodło się! Powtórzyć test?"
"Enable Search Recommendations","Włącz rekomendacje wyszukiwania"
"When you enable this option your site may slow down.","Po włączeniu tej opcji strona może się spowolnić."
"Search Recommendations Count","Liczba podpowiedzi wyszukiwania"
"Show Results Count for Each Recommendation","Pokaż liczbę wyników dla każdej podpowiedzi"
"Enable Search Suggestions","Włącz podpowiedzi wyszukiwania"
"Search Suggestions Count","Liczba podpowiedzi wyszukiwania"
"Show Results Count for Each Suggestion","Pokaż liczbę wyników dla każdej podpowiedzi"
"Related search terms","Podobne wyszukiwania"
"Did you mean","Czy chodziło Ci o"
"ID","Identyfikator"
"Search Query","Fraza wyszukiwania"
"Store","Sklep"
"Results","Rezultaty"
"Uses","Użyć"
"Redirect URL","Przekierowanie URL"
"Suggested Term","Sugerowany termin"
"Yes","Tak"
"No","Nie"
"Action","Operacja"
"Edit","Edytuj"
"Synonym","Synonym"
