"Related Search Terms","අදාළ සෙවුම් නියමයන්"
"Add New Search Term","නව සෙවුම් පදයක් එක් කරන්න"
"button_label","බොත්තම_ලේබලය"
"Missing search engine parameter.","සෙවුම් යන්ත්‍ර පරාමිතිය අතුරුදහන්."
"Successful! Test again?","සාර්ථක! නැවත පරීක්ෂා කරන්න?"
"Connection failed! Test again?","සම්බන්ධතාවය අසාර්ථක විය! නැවත පරීක්ෂා කරන්න?"
"Enable Search Recommendations","සෙවුම් නිර්දේශ සබල කරන්න"
"When you enable this option your site may slow down.","ඔබ මෙම විකල්පය සක්‍රීය කළ විට ඔබේ වෙබ් අඩවිය මන්දගාමී විය හැක."
"Search Recommendations Count","සෙවුම් නිර්දේශ ගණන"
"Show Results Count for Each Recommendation","එක් එක් නිර්දේශ සඳහා ප්‍රතිඵල ගණන පෙන්වන්න"
"Enable Search Suggestions","සෙවුම් යෝජනා සබල කරන්න"
"Search Suggestions Count","සෙවුම් යෝජනා ගණන"
"Show Results Count for Each Suggestion","එක් එක් යෝජනාව සඳහා ප්‍රතිඵල ගණන පෙන්වන්න"
"Related search terms","අදාළ සෙවුම් පද"
"Did you mean","ඔයා අදහස් කලේ"
"ID","හැඳුනුම්පත"
"Search Query","සෙවුම් විමසුම"
"Store","ගබඩා කරන්න"
"Results","ප්රතිපල"
"Uses","භාවිතා කරයි"
"Redirect URL","හරවා යවන්න URL"
"Suggested Term","යෝජිත කාල සීමාව"
"Yes","ඔව්"
"No","නැත"
"Action","කටයුතු"
"Edit","සංස්කරණය කරන්න"
"Synonym","Synonym"
