"Related Search Terms","Penelusuran Terkait"
"Add New Search Term","Tambahkan Istilah Pencarian Baru"
"button_label","label tombol"
"Missing search engine parameter.","Parameter mesin telusur yang hilang."
"Successful! Test again?","Sukses! Uji lagi?"
"Connection failed! Test again?","Koneksi gagal! Uji lagi?"
"Enable Search Recommendations","Aktifkan Rekomendasi Pencarian"
"When you enable this option your site may slow down.","Ketika anda memungkinkan ini pilihan anda situs mungkin pelan-pelan."
"Search Recommendations Count","Pencarian rekomendasi menghitung"
"Show Results Count for Each Recommendation","Menunjukkan hasil menghitung untuk masing-masing rekomendasi"
"Enable Search Suggestions","Memungkinkan pencarian saran"
"Search Suggestions Count","Pencarian saran menghitung"
"Show Results Count for Each Suggestion","Menunjukkan hasil menghitung untuk masing-masing saran"
"Related search terms","Terkait pencarian istilah"
"Did you mean","Apakah maksud Anda"
"ID","Id"
"Search Query","Kueri penelusuran"
"Store","Toko"
"Results","Hasil"
"Uses","Kegunaan"
"Redirect URL","Alihkan URL"
"Suggested Term","Istilah yang Disarankan"
"Yes","Ya"
"No","Tidak"
"Action","Tindakan"
"Edit","Ubah"
"Synonym","Synonym"
