"Move to Archive","Tõsta arhiivi"
"Move to Order Management","Liiguta Tellimuste haldusesse"
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Please specify the order ID to be archived."
"Credit Memos","Kreeditarved"
"Invoices","Arved"
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"Orders","Tellimused"
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"Shipments","Saatedokumendid"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Archive","Archive"
"Restore from Archive","Restore from Archive"
"Orders, Invoices, Shipments, Credit Memos Archiving","Tellimuste, arvete, saatedokumentide ja kreeditarvete arhiveerimine"
"Enable Archiving","Luba arhiveerimine"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Mass Add"
"Add","Lisa"
"Sales Archive","Müügiarhiiv"
"All Store Views","Kõik poevaated"
"Purchased From","Ostetud"
"PDF Credit Memos","PDF Credit Memos"
"Credit Memo","Kreeditarve"
"Created","Loodud"
"Order","Tellimus"
"Order Date","Tellimuse kuupäev"
"Bill-to Name","Maksja nimi"
"Status","Staatus"
"Refunded","Tagastatud"
"Order Status","Tellimuse staatus"
"Billing Address","Arveldusaadress"
"Shipping Address","Tarneaadress"
"Customer Name","Kliendi nimi"
"Email","E-post"
"Customer Group","Kliendigrupp"
"Payment Method","Makseviis"
"Shipping Information","Tarneteave"
"Subtotal","Vahesumma"
"Shipping & Handling","Tarne & Käitlemine"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Grand Total","Kõik kokku"
"Return to Order Management","Return to Order Management"
"Purchase Point","Purchase Point"
"Cancel","Tühista"
"Hold","Ootele"
"Unhold","Ootelt maha"
"Print Invoices","Trüki arved"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Print Credit Memos"
"Print All","Print All"
"Print Shipping Labels","Print Shipping Labels"
"Remove to Archive","Remove to Archive"
"ID","ID"
"Purchase Date","Tellimuse kuupäev"
"Ship-to Name","Saaja nimi"
"Grand Total (Base)","Kõik kokku (põhi)"
"Grand Total (Purchased)","Kõik kokku (Makstud)"
"Customer Email","Customer Email"
"Shipping and Handling","Tarne ja käitlemine"
"Total Refunded","Total Refunded"
"PDF Invoices","PDF Invoices"
"Invoice","Arve"
"Invoice Date","Arve kuupäev"
"Order #","Tellimus #"
"Amount","Kogus"
"PDF Shipments","PDF Shipments"
"Shipment","Saadetis"
"Ship Date","Lähetuskuupäev"
"Total Quantity","Total Quantity"
"Go to Archive","Go to Archive"
"Page not found.","Page not found."
