"Move to Archive","Переместить в архив"
"Move to Order Management","Move to Order Management"
"We have archived the order.","Мы архивировали заказ."
"Please specify the order ID to be archived.","Пожалуйста, укажите ID заказа для перемещения в архив."
"Credit Memos","Кредитовые авизо"
"Invoices","Счета"
"We archived %1 order(s).","Мы архивировали %1 заказ(ов)."
"We can't archive the selected order(s).","Мы не можем архивировать выбранные заказы."
"We removed %1 order(s) from the archive.","Мы удалили из архива %1 заказ(ов)."
"Orders","Заказы"
"We have removed the order from the archive.","Мы удалили заказ из архива."
"Please specify the order ID to be removed from archive.","Укажите ID заказа для удаления из архива."
"Shipments","Shipments"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Archive","Архив"
"Restore from Archive","Восстановить из архива"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
"Enable Archiving","Включить архивацию"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Массовое добавление"
"Add","Добавить"
"Sales Archive","Архив продаж"
"All Store Views","Хранилище всех просмотров"
"Purchased From","Оформлен в"
"PDF Credit Memos","PDF Credit Memos"
"Credit Memo","Кредитовые авизо"
"Created","Создан"
"Order","Заказ"
"Order Date","Дата заказа"
"Bill-to Name","Имя плательщика"
"Status","Статус"
"Refunded","Возвращено"
"Order Status","Статус заказа"
"Billing Address","Адрес для выставления счета"
"Shipping Address","Адрес доставки"
"Customer Name","Имя клиента"
"Email","Электронная почта"
"Customer Group","Группы клиентов"
"Payment Method","Метод оплаты"
"Shipping Information","Информация о доставке"
"Subtotal","Промежуточный итог"
"Shipping & Handling","Доставка и обработка"
"Adjustment Refund","Корректировка возврата"
"Adjustment Fee","Adjustment Fee"
"Grand Total","Общий итог"
"Return to Order Management","Return to Order Management"
"Purchase Point","Purchase Point"
"Cancel","Отмена"
"Hold","Hold"
"Unhold","Unhold"
"Print Invoices","Print Invoices"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Print Credit Memos"
"Print All","Распечатать все"
"Print Shipping Labels","Print Shipping Labels"
"Remove to Archive","Remove to Archive"
"ID","Идентификатор"
"Purchase Date","Purchase Date"
"Ship-to Name","Имя получателя"
"Grand Total (Base)","Всего (база)"
"Grand Total (Purchased)","Всего (куплено)"
"Customer Email","Customer Email"
"Shipping and Handling","Shipping and Handling"
"Total Refunded","Всего возвращено"
"PDF Invoices","PDF Invoices"
"Invoice","Счет"
"Invoice Date","Invoice Date"
"Order #","Заказ #"
"Amount","Количество"
"PDF Shipments","PDF Shipments"
"Shipment","Доставка"
"Ship Date","Дата отправки"
"Total Quantity","Общее количество"
"Go to Archive","Перейти в архив"
"Page not found.","Страница не найдена."
