"Move to Archive","Премести во архива"
"Move to Order Management","Move to Order Management"
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Please specify the order ID to be archived."
"Credit Memos","Кредитни белешки"
"Invoices","Invoices"
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We removed %1 order(s) from the archive.","Отстранивме %1 нарачка/и од архивата."
"Orders","Нарачки"
"We have removed the order from the archive.","Ја отстранивме нарачката од архивата."
"Please specify the order ID to be removed from archive.","Ве молиме специфирајте го ID-то на нарачката за да биде отстранета од арживата."
"Shipments","Shipments"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Archive","Архива"
"Restore from Archive","Restore from Archive"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
"Enable Archiving","Enable Archiving"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Mass Add"
"Add","Додади"
"Sales Archive","Sales Archive"
"All Store Views","All Store Views"
"Purchased From","Purchased From"
"PDF Credit Memos","PDF Credit Memos"
"Credit Memo","Кредитна белешка"
"Created","Креирано"
"Order","Нарачка"
"Order Date","Датум на нарачка"
"Bill-to Name","Bill-to Name"
"Status","Статус"
"Refunded","Refunded"
"Order Status","Статус на нарачката"
"Billing Address","Адреса за плаќање"
"Shipping Address","Адреса за испорака"
"Customer Name","Име на купувачот"
"Email","Емаил"
"Customer Group","Група на купувачи"
"Payment Method","Начин на плаќање"
"Shipping Information","Информации за испорака"
"Subtotal","Вкупно"
"Shipping & Handling","Испорака & Достава"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Grand Total","Вкупно"
"Return to Order Management","Return to Order Management"
"Purchase Point","Purchase Point"
"Cancel","Откажи"
"Hold","Hold"
"Unhold","Unhold"
"Print Invoices","Испринти фактури"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Print Credit Memos"
"Print All","Испринти ги сите"
"Print Shipping Labels","Print Shipping Labels"
"Remove to Archive","Remove to Archive"
"ID","ID"
"Purchase Date","Purchase Date"
"Ship-to Name","Ship-to Name"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Email","Customer Email"
"Shipping and Handling","Shipping and Handling"
"Total Refunded","Total Refunded"
"PDF Invoices","PDF Invoices"
"Invoice","Invoice"
"Invoice Date","Invoice Date"
"Order #","Нарачка #"
"Amount","Сума"
"PDF Shipments","PDF Shipments"
"Shipment","Shipment"
"Ship Date","Ship Date"
"Total Quantity","Total Quantity"
"Go to Archive","Оди на архива"
"Page not found.","Page not found."
