"Move to Archive","Flytta till Arkiv"
"Move to Order Management","Flytta till Orderhanteringen"
"We have archived the order.","Vi har arkiverat ordern."
"Please specify the order ID to be archived.","Ange order-ID som ska arkiveras."
"Credit Memos","Kreditnotor"
"Invoices","Fakturor"
"We archived %1 order(s).","Vi arkiverade %1 beställning(ar)."
"We can't archive the selected order(s).","Vi kan inte arkivera valda beställning(ar)."
"We removed %1 order(s) from the archive.","Vi tog bort %1 beställning(ar) från arkivet."
"Orders","Beställningar"
"We have removed the order from the archive.","Vi har tagit bort ordern från arkivet."
"Please specify the order ID to be removed from archive.","Ange order-ID tas bort från arkivet."
"Shipments","Sändelser"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","I detta arkiv finns %1 order. Alla dessa kommer att flyttas till den vanliga tabellen efter arkivet är inaktiverad."
"Archive","Arkiv"
"Restore from Archive","Återställ från säkerhetskopia"
"Orders, Invoices, Shipments, Credit Memos Archiving","Order, fakturor, leveranser, kreditnotor arkivering"
"Enable Archiving","Aktivera arkivering"
"Archive Orders Purchased","Arkiv för order"
"Order Statuses to be Archived","Order status ska arkiveras"
"Mass Add","Lägg till i bulk"
"Add","Lägg till"
"Sales Archive","Säljarkiv"
"All Store Views","Alla butiksvyer"
"Purchased From","Köpt från"
"PDF Credit Memos","PDF-kreditnotor"
"Credit Memo","Kreditmemo"
"Created","Skapad"
"Order","Beställning"
"Order Date","Orderdatum"
"Bill-to Name","Fakturamottagarens namn"
"Status","Status"
"Refunded","Återbetald"
"Order Status","Beställningsstatus"
"Billing Address","Faktureringsadress"
"Shipping Address","Leveransadress"
"Customer Name","Kundnamn"
"Email","E-post"
"Customer Group","Kundgrupp"
"Payment Method","Betalningsmetod"
"Shipping Information","Leveransinformation"
"Subtotal","Delsumma"
"Shipping & Handling","Frakt & hantering"
"Adjustment Refund","Justering av återbetalning"
"Adjustment Fee","Justeringsavgift"
"Grand Total","Totalsumma"
"Return to Order Management","Return to Order Management"
"Purchase Point","Beställningspunkt"
"Cancel","Avbryt"
"Hold","Pausa"
"Unhold","Återta"
"Print Invoices","Skriv ut fakturor"
"Print Packing Slips","Skriv ut följesedlar"
"Print Credit Memos","Skriv ut kreditnotor"
"Print All","Skriv ut alla"
"Print Shipping Labels","Skriv ut följesedel"
"Remove to Archive","Remove to Archive"
"ID","ID"
"Purchase Date","Inköpsdatum"
"Ship-to Name","Mottagarnamn"
"Grand Total (Base)","Totalsumma (bas)"
"Grand Total (Purchased)","Totalsumma (köpt)"
"Customer Email","Kund e-post"
"Shipping and Handling","Frakt & hantering"
"Total Refunded","Totalt återbetalt"
"PDF Invoices","PDF-fakturor"
"Invoice","Fakturera"
"Invoice Date","Fakturadatum"
"Order #","Beställning #"
"Amount","Belopp"
"PDF Shipments","PDF-transporter"
"Shipment","Frakt"
"Ship Date","Transportdatum"
"Total Quantity","Total kvantitet"
"Go to Archive","Go to Archive"
"Page not found.","Page not found."
