"Move to Archive","Déplacer vers les archives"
"Move to Order Management","Déplacer vers la gestion des commandes"
"We have archived the order.","Nous avons bien archivé la commande."
"Please specify the order ID to be archived.","Veuillez spécifier l'identifiant de la commande à archiver."
"Credit Memos","Avoirs"
"Invoices","Factures"
"We archived %1 order(s).","Nous avons archivé %1 commande(s)."
"We can't archive the selected order(s).","Impossible d'archiver la ou les commande(s) sélectionnée(s)."
"We removed %1 order(s) from the archive.","Nous avons supprimé %1 commande(s) des archives."
"Orders","Commandes"
"We have removed the order from the archive.","Nous avons supprimé la commande des archives."
"Please specify the order ID to be removed from archive.","Veuillez spécifier l'identifiant de la commande à supprimer des archives."
"Shipments","Expéditions"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","Il y a %1 commande(s) dans cette archive. Elle(s) sera / seront déplacée(s) vers le tableau normal après la désactivation de l'archive."
"Archive","Archive"
"Restore from Archive","Restaurer à partir d'une archive"
"Orders, Invoices, Shipments, Credit Memos Archiving","Archivage commandes, factures, expéditions, avoirs"
"Enable Archiving","Autoriser l'archivage"
"Archive Orders Purchased","Archiver les commandes terminée"
"Order Statuses to be Archived","Statuts de commande à archiver"
"Mass Add","Ajout en masse"
"Add","Ajouter"
"Sales Archive","Archives des ventes"
"All Store Views","Toutes les vues magasin"
"Purchased From","Acheté sur"
"PDF Credit Memos","Avoirs en PDF"
"Credit Memo","Avoir"
"Created","Créé"
"Order","Commande"
"Order Date","Date de commande"
"Bill-to Name","Nom (Fact.)"
"Status","Statut"
"Refunded","Remboursé"
"Order Status","Statut"
"Billing Address","Adresse de facturation"
"Shipping Address","Adresse de livraison"
"Customer Name","Nom du client"
"Email","Courriel"
"Customer Group","Groupe de clients"
"Payment Method","Mode de paiement"
"Shipping Information","Informations de livraison"
"Subtotal","Sous-total"
"Shipping & Handling","Frais de port"
"Adjustment Refund","Remboursement des frais de dossier"
"Adjustment Fee","Frais de dossier"
"Grand Total","Montant global"
"Return to Order Management","Retourner à la gestion des commandes"
"Purchase Point","Point de vente"
"Cancel","Annuler"
"Hold","Bloquer"
"Unhold","Débloquer"
"Print Invoices","Imprimer les factures"
"Print Packing Slips","Imprimer les bordereaux de livraison"
"Print Credit Memos","Imprimer les avoirs"
"Print All","Tout imprimer"
"Print Shipping Labels","Imprimer les étiquettes de livraison"
"Remove to Archive","Remove to Archive"
"ID","Identifiant"
"Purchase Date","Date d'achat"
"Ship-to Name","Nom (Livr.)"
"Grand Total (Base)","Nom du client"
"Grand Total (Purchased)","Total général (acheté)"
"Customer Email","Email du client"
"Shipping and Handling","Frais de port"
"Total Refunded","Total remboursé"
"PDF Invoices","Factures en PDF"
"Invoice","Facturer"
"Invoice Date","Date de facturation"
"Order #","Commande n°"
"Amount","Montant"
"PDF Shipments","PDF des expéditions"
"Shipment","Expédition"
"Ship Date","Date d'envoi"
"Total Quantity","Quantité totale"
"Go to Archive","Aller aux archives"
"Page not found.","Page not found."
