"Move to Archive","සංරක්ෂිතය වෙත යන්න"
"Move to Order Management","ඇණවුම් කළමනාකරණය වෙත යන්න"
"We have archived the order.","අපි ඇණවුම සංරක්ෂණය කර ඇත."
"Please specify the order ID to be archived.","කරුණාකර සංරක්ෂණය කළ යුතු ඇණවුම් හැඳුනුම්පත සඳහන් කරන්න."
"Credit Memos","ණය මතක සටහන්"
"Invoices","ඉන්වොයිසි"
"We archived %1 order(s).","අපි ඇණවුම්(ය) %1 ක් සංරක්ෂණය කළෙමු."
"We can't archive the selected order(s).","අපට තෝරාගත් ඇණවුම(ය) සංරක්ෂණය කළ නොහැක."
"We removed %1 order(s) from the archive.","අපි සංරක්ෂිතයෙන් ඇණවුම්(ය) %1 ක් ඉවත් කළෙමු."
"Orders","නියෝග"
"We have removed the order from the archive.","අපි සංරක්ෂිතයෙන් ඇණවුම ඉවත් කර ඇත."
"Please specify the order ID to be removed from archive.","කරුණාකර සංරක්ෂිතයෙන් ඉවත් කළ යුතු ඇණවුම් ID සඳහන් කරන්න."
"Shipments","නැව්ගත කිරීම්"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","මෙම සංරක්ෂිතයේ ඇණවුම් %1 ක් ඇත. සංරක්ෂිතය අක්‍රිය කිරීමෙන් පසු ඒවා සියල්ලම සාමාන්‍ය වගුව වෙත ගෙන යනු ඇත."
"Archive","සංරක්ෂිතය"
"Restore from Archive","සංරක්ෂිතයෙන් ප්‍රතිසාධනය කරන්න"
"Orders, Invoices, Shipments, Credit Memos Archiving","ඇණවුම්, ඉන්වොයිසි, නැව්ගත කිරීම්, ණය මතක සටහන් සංරක්ෂණය"
"Enable Archiving","සංරක්ෂණය සක්රිය කරන්න"
"Archive Orders Purchased","සංරක්ෂිත ඇණවුම් මිලදී ගෙන ඇත"
"Order Statuses to be Archived","තත්ව සංරක්ෂණය කිරීමට ඇණවුම් කරන්න"
"Mass Add","Mass Add"
"Add","එකතු කරන්න"
"Sales Archive","විකුණුම් ලේඛනාගාරය"
"All Store Views","සියලුම ගබඩා දර්ශන"
"Purchased From","වෙතින් මිලදී ගන්නා ලදී"
"PDF Credit Memos","PDF ණය මතක සටහන්"
"Credit Memo","ණය සටහන"
"Created","නිර්මාණය කළා"
"Order","නියෝග"
"Order Date","ඇණවුම් දිනය"
"Bill-to Name","නමට බිල්පත්"
"Status","තත්ත්වය"
"Refunded","ආපසු ගෙවන ලදී"
"Order Status","ඇණවුම් තත්ත්වය"
"Billing Address","බිල්පත් ලිපිනය"
"Shipping Address","බෙදාහැරීමේ ලිපිනය"
"Customer Name","පාරිභෝගිකයාගේ නම"
"Email","විද්යුත් තැපෑල"
"Customer Group","පාරිභෝගික කණ්ඩායම"
"Payment Method","ගෙවීම් ක්රමය"
"Shipping Information","නැව්ගත කිරීමේ තොරතුරු"
"Subtotal","උප එකතුව"
"Shipping & Handling","නැව්ගත කිරීම සහ හැසිරවීම"
"Adjustment Refund","ගැලපුම් ආපසු ගෙවීම"
"Adjustment Fee","ගැලපුම් ගාස්තුව"
"Grand Total","මුලු එකතුව"
"Return to Order Management","ඇණවුම් කළමනාකරණය වෙත නැවත යන්න"
"Purchase Point","මිලදී ගැනීමේ ස්ථානය"
"Cancel","අවලංගු කරන්න"
"Hold","අල්ලගෙන ඉන්න"
"Unhold","රඳවා නොගන්න"
"Print Invoices","ඉන්වොයිසි මුද්‍රණය කරන්න"
"Print Packing Slips","ඇසුරුම් ස්ලිප් මුද්‍රණය කරන්න"
"Print Credit Memos","ණය මතක සටහන් මුද්‍රණය කරන්න"
"Print All","සියල්ල මුද්‍රණය කරන්න"
"Print Shipping Labels","නැව්ගත කිරීමේ ලේබල මුද්‍රණය කරන්න"
"Remove to Archive","Remove to Archive"
"ID","හැඳුනුම්පත"
"Purchase Date","මිලදීගත් දිනය"
"Ship-to Name","නමට නැව්ගත කරන්න"
"Grand Total (Base)","මහා එකතුව (පදනම)"
"Grand Total (Purchased)","විශාල එකතුව (මිලදී ගත්)"
"Customer Email","පාරිභෝගික ඊමේල්"
"Shipping and Handling","නැව්ගත කිරීම සහ හැසිරවීම"
"Total Refunded","සම්පූර්ණ ආපසු ගෙවන ලදී"
"PDF Invoices","PDF ඉන්වොයිසි"
"Invoice","ඉන්වොයිසිය"
"Invoice Date","ඉන්වොයිසි දිනය"
"Order #","නියෝග #"
"Amount","ප්රමාණය"
"PDF Shipments","PDF නැව්ගත කිරීම්"
"Shipment","නැව්ගත"
"Ship Date","නැව්ගත කරන දිනය"
"Total Quantity","මුළු ප්රමාණය"
"Go to Archive","Archive වෙත යන්න"
"Page not found.","Page not found."
