"Move to Archive","העבר לארכיון"
"Move to Order Management","העבר לניהול הזמנה"
"We have archived the order.","הוספנו את ההזמנה לארכיון."
"Please specify the order ID to be archived.","נא ציין את מזהה ההזמנה לארכיון."
"Credit Memos","חשבוניות זיכוי"
"Invoices","חשבוניות"
"We archived %1 order(s).","שמנו בארכיון את ההזמנות%1."
"We can't archive the selected order(s).","אנחנו לא יכולים לאחסן בארכיון את ההזמנות שנבחרו."
"We removed %1 order(s) from the archive.","הוסרו %1 מוצר/ים מתוך הארכיון."
"Orders","הזמנות"
"We have removed the order from the archive.","להוציא את הסדר מתוך הארכיון."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"Shipments","משלוחים"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Archive","ארכיון"
"Restore from Archive","שיחזור מארכיון"
"Orders, Invoices, Shipments, Credit Memos Archiving","הזמנות, חשבוניות, משלוחים, תזכירי אשראי בארכיון"
"Enable Archiving","אפשר אחסון בארכיון"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","סטטוסי הזמנה המיועדים לארכיון"
"Mass Add","הוספה מרובה"
"Add","הוספה"
"Sales Archive","Sales Archive"
"All Store Views","כל תצוגות החנויות"
"Purchased From","נרכש מ"
"PDF Credit Memos","PDF Credit Memos"
"Credit Memo","חשבונית זיכוי"
"Created","נוצר"
"Order","הזמנה"
"Order Date","תאריך הזמנה"
"Bill-to Name","שלח חיוב לשם"
"Status","סטטוס"
"Refunded","זוכה"
"Order Status","סטטוס הזמנה"
"Billing Address","כתובת חיוב"
"Shipping Address","כתובת למשלוח"
"Customer Name","Customer Name"
"Email","דואר אלקטרוני"
"Customer Group","קבוצת לקוחות"
"Payment Method","שיטת התשלום"
"Shipping Information","פרטי משלוח"
"Subtotal","סכום ביניים"
"Shipping & Handling","משלוח וטיפול"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Grand Total","הסכום הכולל"
"Return to Order Management","Return to Order Management"
"Purchase Point","נקודת רכישה"
"Cancel","ביטול"
"Hold","Hold"
"Unhold","בטל השהייה"
"Print Invoices","Print Invoices"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Print Credit Memos"
"Print All","הדפס הכול"
"Print Shipping Labels","הדפס תוויות משלוח"
"Remove to Archive","Remove to Archive"
"ID","מזהה"
"Purchase Date","תאריך רכישה"
"Ship-to Name","נשלח אל שם"
"Grand Total (Base)","הסכום הכולל (בסיס)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Email","Customer Email"
"Shipping and Handling","טיפול ומשלוח"
"Total Refunded","סה""כ הוחזר"
"PDF Invoices","PDF Invoices"
"Invoice","חשבונית"
"Invoice Date","תאריך חשבונית"
"Order #","# הזמנה"
"Amount","סכום"
"PDF Shipments","PDF Shipments"
"Shipment","משלוח"
"Ship Date","Ship Date"
"Total Quantity","סהכ כמות"
"Go to Archive","מעבר לארכיון"
"Page not found.","Page not found."
