"Move to Archive","Arquivar"
"Move to Order Management","Mudar para a Gestão de Pedidos"
"We have archived the order.","O pedido foi arquivado."
"Please specify the order ID to be archived.","Por favor especifique o ID do pedido a ser arquivado."
"Credit Memos","Memorandos de Crédito"
"Invoices","Faturas"
"We archived %1 order(s).","%1 pedido(s) arquivados."
"We can't archive the selected order(s).","Nós não conseguimos arquivar o(s) pedido(s) selecionado(s)."
"We removed %1 order(s) from the archive.","Removemos %1 pedido(s) do arquivo."
"Orders","Pedidos"
"We have removed the order from the archive.","Nós removemos o pedido do arquivo."
"Please specify the order ID to be removed from archive.","Por favor especifique o ID do pedido a ser eliminada do arquivo."
"Shipments","Postagens"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","Existem %1 pedidos neste arquivo. Todos eles serão movidas para a tabela normal depois do arquivo ser desativado."
"Archive","Arquivo"
"Restore from Archive","Restaurar a partir do Arquivo"
"Orders, Invoices, Shipments, Credit Memos Archiving","Arquivo de Encomendas, Faturas, Expedições e Notas de Crédito"
"Enable Archiving","Habilitar o arquivamento"
"Archive Orders Purchased","Ordens de Arquivo Compradas"
"Order Statuses to be Archived","Estados das Encomenda a serem Arquivadas"
"Mass Add","Adicionar em Massa"
"Add","Adicionar"
"Sales Archive","Arquivo de Vendas"
"All Store Views","Todas as Visões de Loja"
"Purchased From","Comprado De"
"PDF Credit Memos","Notas de Crédito em PDF"
"Credit Memo","Memorando de Crédito"
"Created","Criado"
"Order","Pedido"
"Order Date","Data do Pedido"
"Bill-to Name","Nome de Cobrança"
"Status","Situação"
"Refunded","Reembolsado"
"Order Status","Situação do pedido"
"Billing Address","Endereço de Cobrança"
"Shipping Address","Endereço de entrega"
"Customer Name","Nome do cliente"
"Email","E-mail"
"Customer Group","Grupo de clientes"
"Payment Method","Forma de pagamento"
"Shipping Information","Dados de Entrega"
"Subtotal","Sub-total"
"Shipping & Handling","Envio e Manuseio"
"Adjustment Refund","Ajuste de reembolso"
"Adjustment Fee","Taxa de ajuste"
"Grand Total","Total geral"
"Return to Order Management","Voltar à Gestão de Pedidos"
"Purchase Point","Ponto de compra"
"Cancel","Cancelar"
"Hold","Em espera"
"Unhold","Retomar"
"Print Invoices","Imprimir Faturas"
"Print Packing Slips","Imprimir Documento de Envio"
"Print Credit Memos","Imprimir Notas de Crédito"
"Print All","Imprimir tudo"
"Print Shipping Labels","Imprimir as Etiquetas de Envio"
"Remove to Archive","Remove to Archive"
"ID","Id."
"Purchase Date","Data da Compra"
"Ship-to Name","Nome de Entrega"
"Grand Total (Base)","Total geral (Base)"
"Grand Total (Purchased)","Total geral (comprado)"
"Customer Email","E-mail do cliente"
"Shipping and Handling","Envio e Processamento"
"Total Refunded","Total reembolsado"
"PDF Invoices","Faturas PDF"
"Invoice","Fatura"
"Invoice Date","Data da factura"
"Order #","Pedido #"
"Amount","Quantidade"
"PDF Shipments","PDF de Entregas"
"Shipment","Envio"
"Ship Date","Data de envio"
"Total Quantity","Quantidade total"
"Go to Archive","Ir para arquivo"
"Page not found.","Page not found."
