"Move to Archive","Pindah ke Arsip"
"Move to Order Management","Pindah ke Manajemen Pesanan"
"We have archived the order.","Kami telah mengarsipkan pesanan."
"Please specify the order ID to be archived.","Silakan tentukan ID pesanan yang akan diarsipkan."
"Credit Memos","Memo kredit"
"Invoices","Faktur"
"We archived %1 order(s).","Kami mengarsipkan %1 pesanan(s)."
"We can't archive the selected order(s).","Kami tidak dapat mengarsipkan urutan yang dipilih(s)."
"We removed %1 order(s) from the archive.","Kami menghapus %1 pesanan(s) dari arsip."
"Orders","Pesanan"
"We have removed the order from the archive.","Kami telah menghapus pesanan dari arsip."
"Please specify the order ID to be removed from archive.","Silakan tentukan nomor pesanan yang akan dihapus dari arsip."
"Shipments","Pengiriman"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","Ada %1 pesanan di arsip ini. Semuanya akan dipindahkan ke meja reguler setelah arsip dinonaktifkan."
"Archive","Arsipkan"
"Restore from Archive","Pulihkan dari Arsip"
"Orders, Invoices, Shipments, Credit Memos Archiving","Pesanan, Faktur, Pengiriman, Pengarsifan Memo Kredit"
"Enable Archiving","Aktifkan Pengarsipan"
"Archive Orders Purchased","Pesanan Arsip Dibeli"
"Order Statuses to be Archived","Status Pesanan yang akan diarsipkan"
"Mass Add","Masa tambahan"
"Add","Menambahkan"
"Sales Archive","Arsip Penjualan"
"All Store Views","Semua Tampilan Store"
"Purchased From","Dibeli dari"
"PDF Credit Memos","Memo kredit PDF"
"Credit Memo","Memo kredit"
"Created","Dibuat"
"Order","Memesan"
"Order Date","Tanggal pemesanan"
"Bill-to Name","Nama ""Ditagihkan kepada"""
"Status","Subjek"
"Refunded","Dikembalikan"
"Order Status","Status pesanan"
"Billing Address","Alamat Tagihan"
"Shipping Address","Alamat Pengiriman"
"Customer Name","Nama Pelanggan"
"Email","E-mail"
"Customer Group","Grup Pelanggan"
"Payment Method","Metode pembayaran"
"Shipping Information","Pengiriman Informasi"
"Subtotal","Subtotal"
"Shipping & Handling","Pengiriman & Penanganan"
"Adjustment Refund","Penyesuaian Pengembalian Dana"
"Adjustment Fee","Biaya Penyesuaian"
"Grand Total","Total keseluruhan"
"Return to Order Management","Kembalikan ke Manajemen Pesanan"
"Purchase Point","Titik pembelian"
"Cancel","Batal"
"Hold","Tahan"
"Unhold","Lepas"
"Print Invoices","Cetak Faktur"
"Print Packing Slips","Cetak Slip Pengepakan"
"Print Credit Memos","Cetak Memo Kredit"
"Print All","Cetak Semua"
"Print Shipping Labels","Cetak Label Pengiriman"
"Remove to Archive","Remove to Archive"
"ID","Id"
"Purchase Date","Tanggal Pembelian"
"Ship-to Name","Nama ""Dikirimkan kepada"""
"Grand Total (Base)","Total keseluruhan (Base)"
"Grand Total (Purchased)","Grand Total (Dibeli)"
"Customer Email","E-mail pelanggan"
"Shipping and Handling","Pengiriman dan penanganan"
"Total Refunded","Jumlah Total Dana Dikembalikan"
"PDF Invoices","Buat PDF Faktur"
"Invoice","Faktur"
"Invoice Date","Tanggal faktur"
"Order #","Pesanan #"
"Amount","Jumlah"
"PDF Shipments","Pengiriman PDF"
"Shipment","Pengiriman"
"Ship Date","Tanggal pengiriman"
"Total Quantity","Jumlah total"
"Go to Archive","Buka Arsip"
"Page not found.","Page not found."
