"Move to Archive","Premiestniť do archívu"
"Move to Order Management","Move to Order Management"
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Please specify the order ID to be archived."
"Credit Memos","Credit Memos"
"Invoices","Invoices"
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"Orders","Objednávky"
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"Shipments","Shipments"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Archive","Archive"
"Restore from Archive","Restore from Archive"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
"Enable Archiving","Enable Archiving"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Mass Add"
"Add","Pridať"
"Sales Archive","Sales Archive"
"All Store Views","Všetky zobrazenia obchodu"
"Purchased From","Purchased From"
"PDF Credit Memos","PDF Credit Memos"
"Credit Memo","Credit Memo"
"Created","Vytvorené"
"Order","Objednávka"
"Order Date","Order Date"
"Bill-to Name","Názov platiteľa"
"Status","Stav"
"Refunded","Vrátené"
"Order Status","Stav objednávky"
"Billing Address","Adresa pre fakturáciu"
"Shipping Address","Dodacia adresa"
"Customer Name","Customer Name"
"Email","E-mail"
"Customer Group","Zákaznicka skupina"
"Payment Method","Spôsob platby"
"Shipping Information","Prepravné informácie"
"Subtotal","Medzisúčet"
"Shipping & Handling","Poštovné a balné"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Grand Total","Celkový súčet"
"Return to Order Management","Return to Order Management"
"Purchase Point","Miesto nákupu"
"Cancel","Zrušiť"
"Hold","Hold"
"Unhold","Unhold"
"Print Invoices","Print Invoices"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Print Credit Memos"
"Print All","Print All"
"Print Shipping Labels","Print Shipping Labels"
"Remove to Archive","Remove to Archive"
"ID","ID"
"Purchase Date","Purchase Date"
"Ship-to Name","Názov príjemcu"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Email","Customer Email"
"Shipping and Handling","Shipping and Handling"
"Total Refunded","Total Refunded"
"PDF Invoices","PDF Invoices"
"Invoice","Faktúra"
"Invoice Date","Invoice Date"
"Order #","Objednávka #"
"Amount","Amount"
"PDF Shipments","PDF Shipments"
"Shipment","Zásielka"
"Ship Date","Ship Date"
"Total Quantity","Total Quantity"
"Go to Archive","Go to Archive"
"Page not found.","Page not found."
