"Move to Archive","アーカイブへ移動"
"Move to Order Management","注文管理に移動"
"We have archived the order.","注文をアーカイブしました。"
"Please specify the order ID to be archived.","アーカイブするオーダーIDを指定してください。"
"Credit Memos","クレジットメモ"
"Invoices","請求書"
"We archived %1 order(s).","%1 件のオーダーをアーカイブしました。"
"We can't archive the selected order(s).","選択した注文をアーカイブすることはできません。"
"We removed %1 order(s) from the archive.","アーカイブから %1 件の注文を削除しました。"
"Orders","注文"
"We have removed the order from the archive.","アーカイブから注文を削除しました。"
"Please specify the order ID to be removed from archive.","アーカイブから削除する注文IDを指定してください。"
"Shipments","配送"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","このアーカイブには %1 のオーダーがあります。 アーカイブが無効にされると、それらのすべてが通常のテーブルに移動されます。"
"Archive","アーカイブ"
"Restore from Archive","アーカイブから復元"
"Orders, Invoices, Shipments, Credit Memos Archiving","注文, 請求, 配送, クレジットメモアーカイブ"
"Enable Archiving","アーカイブを有効にする"
"Archive Orders Purchased","購入済み注文データのアーカイブ"
"Order Statuses to be Archived","アーカイブされる注文ステータス"
"Mass Add","一括追加"
"Add","追加"
"Sales Archive","セールスアーカイブ"
"All Store Views","全てのストアビュー"
"Purchased From","購入店舗"
"PDF Credit Memos","PDFクレジットメモ"
"Credit Memo","クレジットメモ"
"Created","作成済"
"Order","注文"
"Order Date","注文日"
"Bill-to Name","請求先名"
"Status","ステータス"
"Refunded","返金"
"Order Status","注文ステータス"
"Billing Address","請求先住所"
"Shipping Address","お届け先住所"
"Customer Name","顧客名"
"Email","Eメール"
"Customer Group","顧客グループ"
"Payment Method","お支払方法"
"Shipping Information","配送情報"
"Subtotal","小計"
"Shipping & Handling","配送料と手数料"
"Adjustment Refund","払戻調整"
"Adjustment Fee","調整料"
"Grand Total","総合計"
"Return to Order Management","注文管理に戻る"
"Purchase Point","購入店舗"
"Cancel","キャンセル"
"Hold","保留"
"Unhold","保留解除"
"Print Invoices","請求書印刷"
"Print Packing Slips","配送伝票を印刷"
"Print Credit Memos","クレジットメモ印刷"
"Print All","すべて印刷"
"Print Shipping Labels","配送ラベルを印刷"
"Remove to Archive","Remove to Archive"
"ID","ID"
"Purchase Date","購入日"
"Ship-to Name","送り先名"
"Grand Total (Base)","合計 (ベース)"
"Grand Total (Purchased)","合計 (購入)"
"Customer Email","カスタムEメール"
"Shipping and Handling","配送料"
"Total Refunded","返金合計"
"PDF Invoices","PDF請求書"
"Invoice","請求"
"Invoice Date","請求日"
"Order #","注文 #"
"Amount","金額"
"PDF Shipments","PDF配送"
"Shipment","配送"
"Ship Date","発送日"
"Total Quantity","総数量"
"Go to Archive","アーカイブに移動"
"Page not found.","Page not found."
