"Move to Archive","Áthelyezés az archívumba"
"Move to Order Management","Move to Order Management"
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Please specify the order ID to be archived."
"Credit Memos","Jóváírások"
"Invoices","Számlák"
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"Orders","Rendelések"
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"Shipments","Szállítmányok"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Archive","Archive"
"Restore from Archive","Restore from Archive"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
"Enable Archiving","Enable Archiving"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Mass Add"
"Add","Hozzáadás"
"Sales Archive","Sales Archive"
"All Store Views","Minden webáruház nézet"
"Purchased From","Purchased From"
"PDF Credit Memos","PDF Credit Memos"
"Credit Memo","Jóváírás"
"Created","Létrehozva"
"Order","Rendelés"
"Order Date","Order Date"
"Bill-to Name","Számlázási név"
"Status","Állapot"
"Refunded","Visszatérített"
"Order Status","Megrendelés állapota"
"Billing Address","Számlázási cím"
"Shipping Address","Szállítási cím"
"Customer Name","Ügyfél neve"
"Email","E-mail"
"Customer Group","Vásárlói csoport"
"Payment Method","Fizetési mód"
"Shipping Information","Szállítási információk"
"Subtotal","Részösszeg"
"Shipping & Handling","Szállítás & kezelés"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Grand Total","Mindösszesen"
"Return to Order Management","Return to Order Management"
"Purchase Point","Vásárlási pont"
"Cancel","Mégse"
"Hold","Hold"
"Unhold","Unhold"
"Print Invoices","Print Invoices"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Print Credit Memos"
"Print All","Print All"
"Print Shipping Labels","Szállítási címkék nyomtatása"
"Remove to Archive","Remove to Archive"
"ID","Azonosító"
"Purchase Date","Megrendelés dátuma"
"Ship-to Name","Szállítási név"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Email","Customer Email"
"Shipping and Handling","Szállítás és kezelés"
"Total Refunded","Total Refunded"
"PDF Invoices","PDF Invoices"
"Invoice","Számla"
"Invoice Date","Invoice Date"
"Order #","A rendelés száma"
"Amount","Összeg"
"PDF Shipments","PDF Shipments"
"Shipment","Shipment"
"Ship Date","Ship Date"
"Total Quantity","Total Quantity"
"Go to Archive","Go to Archive"
"Page not found.","Page not found."
