"Move to Archive","移动到存档"
"Move to Order Management","移动订单管理"
"We have archived the order.","我们已存档的秩序。"
"Please specify the order ID to be archived.","请指定要归档的订单 ID。"
"Credit Memos","PDF运单"
"Invoices","发票"
"We archived %1 order(s).","我们存档 %1 订单。"
"We can't archive the selected order(s).","我们不能将存档所选的订单。"
"We removed %1 order(s) from the archive.","我们从档案中删除 %1 订单。"
"Orders","订单"
"We have removed the order from the archive.","我们有从存档中删除顺序。"
"Please specify the order ID to be removed from archive.","请指定要从档案中删除的订单 ID。"
"Shipments","发货"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","此存档中有 %1 的订单。他们都将移动到常规表后存档已禁用。"
"Archive","存档"
"Restore from Archive","从备份中还原"
"Orders, Invoices, Shipments, Credit Memos Archiving","订单，发票，发货，存档的贷项通知单"
"Enable Archiving","启用存档"
"Archive Orders Purchased","档案订单购买"
"Order Statuses to be Archived","订单状态要存档"
"Mass Add","批量添加"
"Add","添加"
"Sales Archive","销售档案"
"All Store Views","所有商店界面"
"Purchased From","从购买"
"PDF Credit Memos","PDF 贷项通知单"
"Credit Memo","信用备忘录"
"Created","创建"
"Order","订单"
"Order Date","订单日期"
"Bill-to Name","收件人姓名"
"Status","状态"
"Refunded","已退款"
"Order Status","订单状态"
"Billing Address","账单地址"
"Shipping Address","送货地址"
"Customer Name","客户名称"
"Email","邮箱"
"Customer Group","客户组"
"Payment Method","支付方式"
"Shipping Information","运输方式"
"Subtotal","小计"
"Shipping & Handling","运费和手续费"
"Adjustment Refund","调整退款"
"Adjustment Fee","费用的调整"
"Grand Total","总额"
"Return to Order Management","返回订单管理"
"Purchase Point","购买点"
"Cancel","取消"
"Hold","保留"
"Unhold","恢复"
"Print Invoices","打印发票"
"Print Packing Slips","打印装箱单"
"Print Credit Memos","打印贷项通知单"
"Print All","打印所有"
"Print Shipping Labels","打印发货标签"
"Remove to Archive","Remove to Archive"
"ID","编号ID"
"Purchase Date","购买时间"
"Ship-to Name","Ship-to名称"
"Grand Total (Base)","结算货币金额"
"Grand Total (Purchased)","总计 (购买)"
"Customer Email","客户电子邮件"
"Shipping and Handling","运费和手续费"
"Total Refunded","退款总计"
"PDF Invoices","PDF 发票"
"Invoice","发货"
"Invoice Date","发票日期"
"Order #","订单 #"
"Amount","数量"
"PDF Shipments","PDF 发货"
"Shipment","装运"
"Ship Date","运送日期"
"Total Quantity","总数量"
"Go to Archive","转到存档"
"Page not found.","Page not found."
