"Move to Archive","Премести то Архива"
"Move to Order Management","Премести то Поруџбина Манагемент"
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Молимо наведите тхе ордер ИД то бе арцхивед."
"Credit Memos","Кредитна одобрења"
"Invoices","Фактуре"
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"Orders","Поруџбине"
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Молимо наведите тхе ордер ИД то бе ремовед фром арцхиве."
"Shipments","Испоруке"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","Тхере аре %1 ордерс ин тхис арцхиве. Све оф тхем wилл бе мовед то тхе регулар табле афтер тхе арцхиве ис дисаблед."
"Archive","Архива"
"Restore from Archive","Врати фром Архива"
"Orders, Invoices, Shipments, Credit Memos Archiving","Ордерс, Фактуре, Пошиљке, Кредитна одобрења Арцхивинг"
"Enable Archiving","Омогући Арцхивинг"
"Archive Orders Purchased","Архива Ордерс Пурцхасед"
"Order Statuses to be Archived","Поруџбина Статусес то бе Арцхивед"
"Mass Add","Масс Додај"
"Add","Додај"
"Sales Archive","Продаја Архива"
"All Store Views","Сви прегледи продавница"
"Purchased From","Purchased From"
"PDF Credit Memos","ПДФ Кредитна одобрења"
"Credit Memo","Кредитно одобрење"
"Created","Креиран"
"Order","Поруџбина"
"Order Date","Датум поруџбине"
"Bill-to Name","Рачун на Име"
"Status","Статус"
"Refunded","Повраћен новац"
"Order Status","Статус поруџбине"
"Billing Address","Адреса за фактурисање"
"Shipping Address","Адреса за испоруку"
"Customer Name","Купац Назив"
"Email","Е-пошта"
"Customer Group","Група купаца"
"Payment Method","Начин плаћања"
"Shipping Information","Информације о достави"
"Subtotal","Међузбир"
"Shipping & Handling","Достава и руковање"
"Adjustment Refund","Ађустмент Повраћај"
"Adjustment Fee","Adjustment Fee"
"Grand Total","Укупна вредност"
"Return to Order Management","Повраћај то Поруџбина Манагемент"
"Purchase Point","Куповина"
"Cancel","Одустани"
"Hold","Hold"
"Unhold","Unhold"
"Print Invoices","Штампај Фактуре"
"Print Packing Slips","Штампај Пацкинг Слипс"
"Print Credit Memos","Штампај Кредитна одобрења"
"Print All","Штампај Све"
"Print Shipping Labels","Штампај Достава Лабелс"
"Remove to Archive","Уклони то Архива"
"ID","ИД"
"Purchase Date","Пурцхасе Датум"
"Ship-to Name","Достава на Име"
"Grand Total (Base)","Гранд Укупно (Басе)"
"Grand Total (Purchased)","Гранд Укупно (Пурцхасед)"
"Customer Email","Купац Е-пошта"
"Shipping and Handling","Достава анд Хандлинг"
"Total Refunded","Укупно Рефундед"
"PDF Invoices","ПДФ Фактуре"
"Invoice","Фактура"
"Invoice Date","Фактура Датум"
"Order #","Поруџбина #"
"Amount","Износ"
"PDF Shipments","ПДФ Пошиљке"
"Shipment","Пошиљка"
"Ship Date","Схип Датум"
"Total Quantity","Укупно Количина"
"Go to Archive","Го то Архива"
"Page not found.","Страница није пронађена."
