"Move to Archive","نقل إلى الأرشيف"
"Move to Order Management","الانتقال إلى إدارة الطلب"
"We have archived the order.","تم أرشفة الطلب."
"Please specify the order ID to be archived.","الرجاء تحديد معرف الطلب للأرشفة."
"Credit Memos","المذكرة الائتمانية"
"Invoices","الفواتير"
"We archived %1 order(s).","تم ارشفة %1 طلب/طلبات."
"We can't archive the selected order(s).","لا يمكن أرشفة الطلب المحدد."
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"Orders","طلبات الشراء"
"We have removed the order from the archive.","لقد قمنا بإزالة الطلب من الأرشيف."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"Shipments","الشحنات"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Archive","الارشيف"
"Restore from Archive","Restore from Archive"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
"Enable Archiving","Enable Archiving"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","إضافة كتلة"
"Add","إضافة"
"Sales Archive","Sales Archive"
"All Store Views","واجهه جميع المواقع"
"Purchased From","تم شراؤها من"
"PDF Credit Memos","PDF مذكرات ائتمانية"
"Credit Memo","مذكرة الائتمان"
"Created","إنشاء"
"Order","طلب"
"Order Date","تاريخ الطلب"
"Bill-to Name","فاتورة باسم"
"Status","الحاله"
"Refunded","اعادة ايجاد"
"Order Status","حالة الطلب"
"Billing Address","عنوان الفاتورة"
"Shipping Address","عنوان الشحن"
"Customer Name","اسم العميل"
"Email","البريد الإلكتروني"
"Customer Group","مجموعات العملاء"
"Payment Method","طريقة الدفع"
"Shipping Information","بيانات الشحن"
"Subtotal","الإجمالي"
"Shipping & Handling","الشحن و التوصيل"
"Adjustment Refund","اعادة التكيف"
"Adjustment Fee","أجر الضبط"
"Grand Total","المجموع الاجمالى"
"Return to Order Management","Return to Order Management"
"Purchase Point","تكلفة الشراء"
"Cancel","إلغاء"
"Hold","امساك"
"Unhold","غير منتظرة"
"Print Invoices","طباعة الفواتير"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","طباعة المذكرة الائتمانية"
"Print All","طباعة الكل"
"Print Shipping Labels","Print Shipping Labels"
"Remove to Archive","Remove to Archive"
"ID","التعريف"
"Purchase Date","تاريخ الشراء"
"Ship-to Name","شحن باسم"
"Grand Total (Base)","المجموع الكلي (قاعدة)"
"Grand Total (Purchased)","المجموع الكلي (مدفوع)"
"Customer Email","البريد الإلكتروني للعميل"
"Shipping and Handling","الشحن و التوصيل"
"Total Refunded","اجمالي الاسترداد"
"PDF Invoices","PDF فواتير"
"Invoice","فاتورة"
"Invoice Date","تاريخ الفاتورة"
"Order #","رقم الطلب"
"Amount","الكمية"
"PDF Shipments","PDF Shipments"
"Shipment","شحنه"
"Ship Date","Ship Date"
"Total Quantity","إجمالي الكمية"
"Go to Archive","Go to Archive"
"Page not found.","Page not found."
