"Move to Archive","Sposta nell'archivio"
"Move to Order Management","Sposta alla gestione degli ordini"
"We have archived the order.","Hai archiviato questo ordine."
"Please specify the order ID to be archived.","Specifica l'ID ordine da archiviare."
"Credit Memos","Nota di credito"
"Invoices","Fatture"
"We archived %1 order(s).","Sono archiviati %1 ordini."
"We can't archive the selected order(s).","Non è possibile archiviare gli ordini selezionati."
"We removed %1 order(s) from the archive.","Sono stati rimossi %1 ordini dall'archivio."
"Orders","Ordini"
"We have removed the order from the archive.","È stato rimosso l'ordine dall'archivio."
"Please specify the order ID to be removed from archive.","Specifica l'ID ordine per rimoverlo dall'archivio."
"Shipments","Spedizioni"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","In questo archivio ci sono %1 ordini. Tutti loro verranno spostati nella tabella regolare dopo che l'archivio sarà disabilitato."
"Archive","Archivia"
"Restore from Archive","Ripristina da archivio"
"Orders, Invoices, Shipments, Credit Memos Archiving","Archiviazione Ordini, fatture, spedizioni, note di credito"
"Enable Archiving","Abilita Archiviazione"
"Archive Orders Purchased","Archivio ordini acquistati"
"Order Statuses to be Archived","Status di ordine da archiviare"
"Mass Add","Aggiungi Massivamente"
"Add","Aggiungi"
"Sales Archive","Archivio Vendita"
"All Store Views","Tutte le Viste Negozio"
"Purchased From","Acquistato da"
"PDF Credit Memos","PDF Note di credito"
"Credit Memo","Nota di credito"
"Created","Creato"
"Order","Ordine"
"Order Date","Data ordine"
"Bill-to Name","Fattura intestata a"
"Status","Stato"
"Refunded","Rimborsati"
"Order Status","Status Ordine"
"Billing Address","Indirizzo di Fatturazione"
"Shipping Address","Indirizzo di Spedizione"
"Customer Name","Nome cliente"
"Email","Email"
"Customer Group","Gruppo Cliente"
"Payment Method","Metodo di pagamento"
"Shipping Information","Informazioni di spedizione"
"Subtotal","Subtotale"
"Shipping & Handling","Spedizione e gestione"
"Adjustment Refund","Rimborso Adeguamento"
"Adjustment Fee","Quota di adeguamento"
"Grand Total","Totale complessivo"
"Return to Order Management","Ritorna alla gestione degli ordini"
"Purchase Point","Punto di acquisto"
"Cancel","Annulla"
"Hold","In sospeso"
"Unhold","Ripristinato"
"Print Invoices","Stampa Fattura"
"Print Packing Slips","Stampare documenti di trasporto"
"Print Credit Memos","Stampa le note di credito"
"Print All","Stampa tutto"
"Print Shipping Labels","Stampa etichette di spedizione"
"Remove to Archive","Remove to Archive"
"ID","ID"
"Purchase Date","Data di acquisto"
"Ship-to Name","Nome Destinatario"
"Grand Total (Base)","Totale complessivo (Base)"
"Grand Total (Purchased)","Totale complessivo (acquistato)"
"Customer Email","Email cliente"
"Shipping and Handling","Spedizione e gestione"
"Total Refunded","Totale rimborsato"
"PDF Invoices","Fatture PDF"
"Invoice","Fattura"
"Invoice Date","Data fattura"
"Order #","Ordine n. "
"Amount","Importo"
"PDF Shipments","PDF Spedizioni"
"Shipment","Spedizione"
"Ship Date","Data Spedizione"
"Total Quantity","Quantità Totale"
"Go to Archive","Vai all'archivio"
"Page not found.","Page not found."
