"Move to Archive","Pārvietot uz arhīvu"
"Move to Order Management","Move to Order Management"
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Please specify the order ID to be archived."
"Credit Memos","Credit Memos"
"Invoices","Invoices"
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"Orders","Pasūtījumi"
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"Shipments","Shipments"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Archive","Arhīvs"
"Restore from Archive","Restore from Archive"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
"Enable Archiving","Enable Archiving"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Mass Add"
"Add","Pievienot"
"Sales Archive","Sales Archive"
"All Store Views","Visi veikala skati"
"Purchased From","Purchased From"
"PDF Credit Memos","PDF Credit Memos"
"Credit Memo","Credit Memo"
"Created","Izveidots"
"Order","Pasūtījums"
"Order Date","Order Date"
"Bill-to Name","Bill-to Name"
"Status","Statuss"
"Refunded","Atmaksāts"
"Order Status","Pasūtījuma statuss"
"Billing Address","Norēķinu Adrese"
"Shipping Address","Piegādes adreses"
"Customer Name","Klienta vārds"
"Email","E-pasts"
"Customer Group","Klientu grupa"
"Payment Method","Apmaksas veids"
"Shipping Information","Piegādes informācija"
"Subtotal","Starpsumma"
"Shipping & Handling","Shipping & Handling"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Grand Total","Kopsumma"
"Return to Order Management","Return to Order Management"
"Purchase Point","Purchase Point"
"Cancel","Atcelt"
"Hold","Hold"
"Unhold","Unhold"
"Print Invoices","Print Invoices"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Print Credit Memos"
"Print All","Print All"
"Print Shipping Labels","Print Shipping Labels"
"Remove to Archive","Remove to Archive"
"ID","ID"
"Purchase Date","Purchase Date"
"Ship-to Name","Ship-to Name"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Email","Customer Email"
"Shipping and Handling","Shipping and Handling"
"Total Refunded","Total Refunded"
"PDF Invoices","PDF Invoices"
"Invoice","Rēķins"
"Invoice Date","Invoice Date"
"Order #","Pasūtījums #"
"Amount","Skaits"
"PDF Shipments","PDF Shipments"
"Shipment","Piegāde"
"Ship Date","Ship Date"
"Total Quantity","Total Quantity"
"Go to Archive","Go to Archive"
"Page not found.","Page not found."
