"Move to Archive","Arquivar"
"Move to Order Management","Mudar para a Gestão de Encomendas"
"We have archived the order.","O pedido foi arquivado."
"Please specify the order ID to be archived.","Por favor especifique o ID da encomenda a ser arquivada."
"Credit Memos","Notas de Crédito"
"Invoices","Facturas"
"We archived %1 order(s).","%1 pedido(s) arquivados."
"We can't archive the selected order(s).","Nós não conseguimos arquivar a(s) encomenda(s) seleccionada(s)."
"We removed %1 order(s) from the archive.","Removemos %1 encomenda(s) do arquivo."
"Orders","Pedidos"
"We have removed the order from the archive.","Encomenda removida do arquivo."
"Please specify the order ID to be removed from archive.","Por favor especifique o ID da encomenda a ser eliminada do arquivo."
"Shipments","Expedições"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","Existem %1 encomendas neste arquivo. Todas elas serão movidas para a tabela normal depois do arquivo ser desactivado."
"Archive","Arquivo"
"Restore from Archive","Restaurar a partir do Arquivo"
"Orders, Invoices, Shipments, Credit Memos Archiving","Arquivo de Encomendas, Faturas, Expedições e Notas de Crédito"
"Enable Archiving","Ativar Arquivo"
"Archive Orders Purchased","Ordens de Arquivo Compradas"
"Order Statuses to be Archived","Estados das Encomenda a serem Arquivadas"
"Mass Add","Adicionar em Massa"
"Add","Adicionar"
"Sales Archive","Arquivo de Vendas"
"All Store Views","Todas as Vistas de Loja"
"Purchased From","Comprado De"
"PDF Credit Memos","Notas de Crédito em PDF"
"Credit Memo","Nota de Crédito"
"Created","Criado"
"Order","Encomenda"
"Order Date","Data da Encomenda"
"Bill-to Name","Nome do Destinatário de Faturação"
"Status","Estado"
"Refunded","Reembolsada"
"Order Status","Estado da Encomenda"
"Billing Address","Morada de Faturação"
"Shipping Address","Morada de Envio"
"Customer Name","Nome de Cliente"
"Email","Correio electrónico"
"Customer Group","Grupos de Clientes"
"Payment Method","Método de Pagamento"
"Shipping Information","Informação de Envio"
"Subtotal","Subtotal"
"Shipping & Handling","Transporte e Processamento"
"Adjustment Refund","Reembolso do Ajuste"
"Adjustment Fee","Taxa de Ajuste"
"Grand Total","Preço Final"
"Return to Order Management","Voltar à Gestão de Encomendas"
"Purchase Point","Ponto de Compra"
"Cancel","Cancelar"
"Hold","Suspender"
"Unhold","Retomar"
"Print Invoices","Imprimir Facturas"
"Print Packing Slips","Imprimir Documento de Envio"
"Print Credit Memos","Imprimir Notas de Crédito"
"Print All","Imprimir Tudo"
"Print Shipping Labels","Imprimir as Etiquetas de Envio"
"Remove to Archive","Remove to Archive"
"ID","Id."
"Purchase Date","Data da Compra"
"Ship-to Name","Nome do Destinatário de Envio"
"Grand Total (Base)","Total (Base)"
"Grand Total (Purchased)","Total (Comprado)"
"Customer Email","Email do Cliente"
"Shipping and Handling","Transporte e Processamento"
"Total Refunded","Total Reembolsado"
"PDF Invoices","Faturas PDF"
"Invoice","Fatura"
"Invoice Date","Data da Fatura"
"Order #","Encomenda #"
"Amount","Valor"
"PDF Shipments","Expedições PDF"
"Shipment","Expedição"
"Ship Date","Data de Envio"
"Total Quantity","Quantidade Total"
"Go to Archive","Ir para o Arquivo"
"Page not found.","Page not found."
