"Move to Archive","Преместване в Архив"
"Move to Order Management","Премести в управление на поръчка"
"We have archived the order.","Архивирахме поръчката."
"Please specify the order ID to be archived.","Задайте ИД на поръчката за да бъде архивирана."
"Credit Memos","Кредитни известия"
"Invoices","Фактури"
"We archived %1 order(s).","Архивирани поръчки за %1."
"We can't archive the selected order(s).","Не може да архивира избраните поръчките."
"We removed %1 order(s) from the archive.","Премахнахме %1 поръчките от архива."
"Orders","Поръчки"
"We have removed the order from the archive.","Премахнахме поръчката от архива."
"Please specify the order ID to be removed from archive.","Задайте ИД на поръчката за да бъдат премахнати от архива."
"Shipments","Доставки"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","В този архив има %1 поръчки. Всички от тях ще бъдат преместени в редовните таблицата след архива е забранено."
"Archive","Архив"
"Restore from Archive","Възстановяване от Архив"
"Orders, Invoices, Shipments, Credit Memos Archiving","Поръчки, фактури, експедиционни бележки, кредитните известия за архивиране"
"Enable Archiving","Разреши архивирането"
"Archive Orders Purchased","Архив на направени поръчки"
"Order Statuses to be Archived","Състояния на поръчките за архивиране"
"Mass Add","Добавяне на маса"
"Add","Добави"
"Sales Archive","Архив продажби"
"All Store Views","Изгледи на всички магазини"
"Purchased From","Закупен от"
"PDF Credit Memos","PDF Кредитни известия"
"Credit Memo","Кредитни известия"
"Created","Създаден:"
"Order","Поръчка"
"Order Date","Дата на поръчката"
"Bill-to Name","Фактурирай на Име"
"Status","Статус"
"Refunded","Възстановен"
"Order Status","Статус на поръчката"
"Billing Address","Адрес за фактуриране"
"Shipping Address","Адрес за доставка"
"Customer Name","Име на клиент"
"Email","Имейл"
"Customer Group","Клиентска група"
"Payment Method","Метод на плащане"
"Shipping Information","Информация за доставка"
"Subtotal","Сума"
"Shipping & Handling","Доставка & обработка"
"Adjustment Refund","Регулиране на възстановяването"
"Adjustment Fee","Корекция такса"
"Grand Total","Обща сума"
"Return to Order Management","Връщане към управление на поръчките"
"Purchase Point","Точка на покупка"
"Cancel","Отказ"
"Hold","Задръж"
"Unhold","Връщане на задържането"
"Print Invoices","Принтирай фактури"
"Print Packing Slips","Печат на фишове за опаковане"
"Print Credit Memos","Отпечатване на кредитни известия"
"Print All","Принтирай всички"
"Print Shipping Labels","Печат на етикети за доставка"
"Remove to Archive","Remove to Archive"
"ID","ИД"
"Purchase Date","Дата на покупка"
"Ship-to Name","Достави на Име"
"Grand Total (Base)","Обща сума (основа)"
"Grand Total (Purchased)","Обща сума (закупени)"
"Customer Email","Имейл клиент"
"Shipping and Handling","Доставка и обработка"
"Total Refunded","Общо възстановени"
"PDF Invoices","PDF фактури"
"Invoice","Фактура"
"Invoice Date","Дата на фактура"
"Order #","Поръчка #"
"Amount","Сума"
"PDF Shipments","PDF експедиционни бележки"
"Shipment","Доставка"
"Ship Date","Дата на доставка"
"Total Quantity","Общо количество"
"Go to Archive","Отидете на Архив"
"Page not found.","Page not found."
