"Move to Archive","Flytte til arkiv"
"Move to Order Management","Flytt til Ordrehåndtering"
"We have archived the order.","Vi har arkivert rekkefølgen."
"Please specify the order ID to be archived.","Please specify the order ID to be archived."
"Credit Memos","Kreditnotaer"
"Invoices","Fakturaer"
"We archived %1 order(s).","Vi arkiverte %1 ordre(r)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"Orders","Ordrer"
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"Shipments","Forsendelser"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Archive","Arkiv"
"Restore from Archive","Gjenopprette fra arkivet"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
"Enable Archiving","Aktiver arkivering"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Mass Add"
"Add","Legg til"
"Sales Archive","Salg arkiv"
"All Store Views","Alle butikkvisninger"
"Purchased From","Kjøpt fra"
"PDF Credit Memos","PDF Credit Memos"
"Credit Memo","Kreditnota"
"Created","Opprettet"
"Order","Rekkefølge"
"Order Date","Order Date"
"Bill-to Name","Faktura til-navn"
"Status","Status"
"Refunded","Refundert"
"Order Status","Bestillingsstatus"
"Billing Address","Faktureringsadresse"
"Shipping Address","Leveringsadresse"
"Customer Name","Kundenavn"
"Email","E-post"
"Customer Group","Kundegruppe"
"Payment Method","Betalingsmåte"
"Shipping Information","Leveringsinformasjon"
"Subtotal","Delsum"
"Shipping & Handling","Frakt & håndtering"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Justeringsavgift"
"Grand Total","Totalsum"
"Return to Order Management","Return to Order Management"
"Purchase Point","Kjøpspunkt"
"Cancel","Avbryt"
"Hold","Hold"
"Unhold","Unhold"
"Print Invoices","Print Invoices"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Print Credit Memos"
"Print All","Print All"
"Print Shipping Labels","Print Shipping Labels"
"Remove to Archive","Remove to Archive"
"ID","ID"
"Purchase Date","Purchase Date"
"Ship-to Name","Lever til-navn"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Totalsum (kjøpt)"
"Customer Email","Customer Email"
"Shipping and Handling","Frakt og ekspedisjonsgebyr"
"Total Refunded","Total Refunded"
"PDF Invoices","PDF Invoices"
"Invoice","Faktura"
"Invoice Date","Invoice Date"
"Order #","Ordre #"
"Amount","Antall"
"PDF Shipments","PDF-forsendelser"
"Shipment","Forsendelse"
"Ship Date","Ship Date"
"Total Quantity","Total Quantity"
"Go to Archive","Go to Archive"
"Page not found.","Page not found."
