"Move to Archive","Pindah ke arsip"
"Move to Order Management","Pindah ke manajemen pesanan"
"We have archived the order.","Kami telah mengarsipkan pesanan."
"Please specify the order ID to be archived.","Mohon tentukan ID pesanan untuk di arsipkan."
"Credit Memos","Memo kredit"
"Invoices","Faktur"
"We archived %1 order(s).","Kami mengarsipkan %1 pesanan(s)."
"We can't archive the selected order(s).","Kami tidak dapat mengarsipkan pesanan yang dipilih."
"We removed %1 order(s) from the archive.","Kami menghapus %1 pesanan(s) dari arsip."
"Orders","Pesanan"
"We have removed the order from the archive.","Kami telah menghapus pesanan dari arsip."
"Please specify the order ID to be removed from archive.","Silahkan tentukan ID pesanan untuk dihapus dari arsip."
"Shipments","Pengiriman"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Archive","Arsip"
"Restore from Archive","Pulihkan dari arsip"
"Orders, Invoices, Shipments, Credit Memos Archiving","Pesanan, Faktur, pengiriman, pengarsipan memo kredit"
"Enable Archiving","Aktifkan pengarsipan"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Status pesanan yang akan di arsipkan"
"Mass Add","Tambahkan masa"
"Add","Tambahkan"
"Sales Archive","Arsip penjualan"
"All Store Views","Semua Tampilan Store"
"Purchased From","Dibeli dari"
"PDF Credit Memos","Memo kredit PDF"
"Credit Memo","Memo kredit"
"Created","Buat"
"Order","Pesan"
"Order Date","Tanggal pesanan"
"Bill-to Name","Penagihan-untuk Nama"
"Status","Keadaan"
"Refunded","Dikembalikan"
"Order Status","Status pesanan"
"Billing Address","Alamat tagihan"
"Shipping Address","Alamat Pengiriman"
"Customer Name","Nama Pelanggan"
"Email","Email"
"Customer Group","Kelompok pelanggan"
"Payment Method","Metode pembayaran"
"Shipping Information","Informasi Pengiriman"
"Subtotal","Total bagian"
"Shipping & Handling","Pengiriman & penanganan"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Grand Total","Total keseluruhan"
"Return to Order Management","Kembali ke manajemen pesanan"
"Purchase Point","Titik pembelian"
"Cancel","Batal"
"Hold","Tahan"
"Unhold","Lepas"
"Print Invoices","Cetak faktur"
"Print Packing Slips","Cetak slip pengepakan"
"Print Credit Memos","Cetak memo kredit"
"Print All","Cetak semua"
"Print Shipping Labels","Cetak label pengiriman"
"Remove to Archive","Remove to Archive"
"ID","Nomor"
"Purchase Date","Tanggal pembelian"
"Ship-to Name","Kirim-untuk Nama"
"Grand Total (Base)","Total Keseluruhan"
"Grand Total (Purchased)","Total Keseluruhan (dibeli)"
"Customer Email","Email pelanggan"
"Shipping and Handling","Pengiriman dan penanganan"
"Total Refunded","Total Refunded"
"PDF Invoices","Faktur PDF"
"Invoice","Faktur"
"Invoice Date","Tanggal faktur"
"Order #","Pesanan #"
"Amount","Jumlah"
"PDF Shipments","Pengiriman PDF"
"Shipment","Pengiriman"
"Ship Date","Tanggal kirim"
"Total Quantity","Kuantitas total"
"Go to Archive","Pergi ke arsip"
"Page not found.","Page not found."
