"Move to Archive","Μετακίνηση σε Αρχείο"
"Move to Order Management","Μεταφορά στη Διαχείριση παραγγελίας"
"We have archived the order.","Έχετε αρχειοθετήσει την παραγγελία."
"Please specify the order ID to be archived.","Παρακαλείστε να προσδιορίσετε το ID της παραγγελίας για αρχειοθέτηση."
"Credit Memos","Πιστωτικά Υπομνήματα"
"Invoices","Παραστατικά"
"We archived %1 order(s).","Αρχειοθετήσαμε %1 παραγγελίες."
"We can't archive the selected order(s).","Δεν μπορούμε να αρχειοθετήσουμε την επιλεγμένη παραγγελία(ες)."
"We removed %1 order(s) from the archive.","Αφαιρέσαμε %1 παραγγελίες από το αρχείο."
"Orders","Παραγγελίες"
"We have removed the order from the archive.","Έχουμε αφαιρέσει την παραγγελία από το αρχείο."
"Please specify the order ID to be removed from archive.","Παρακαλείστε να προσδιορίσετε το ID της παραγγελίας που θα καταργηθεί από το αρχείο."
"Shipments","Αποστολές"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","Υπάρχουν %1 παραγγελίες σε αυτό το αρχείο. Όλα αυτά θα μετακινηθούν στο κανονικό τραπέζι μετά το αρχείο θα είναι απενεργοποιημένο."
"Archive","Αρχειοθέτηση"
"Restore from Archive","Επαναφέρετε από το αρχείο"
"Orders, Invoices, Shipments, Credit Memos Archiving","Αρχειοθέτηση Παραγγελιών, Τιμολογίων, Αποστολών και Πιστωτικών"
"Enable Archiving","Ενεργοποίηση Αρχειοθέτησης"
"Archive Orders Purchased","Αρχείο Παραγγελιών που Αγοράστηκαν"
"Order Statuses to be Archived","Καταστάσεις Παραγγελίας για Αρχειοθέτηση"
"Mass Add","Μαζική Προσθήκη"
"Add","Προσθήκη"
"Sales Archive","Αρχείο Πωλήσεων"
"All Store Views","Όλες οι Προβολές Καταστήματος"
"Purchased From","Αγοράστηκε από"
"PDF Credit Memos","PDF Πιστωτικά"
"Credit Memo","Πιστωτικά Υπομνήματα"
"Created","Δημιουργήθηκε"
"Order","Παραγγελία"
"Order Date","Ημ/νία Παραγγελίας"
"Bill-to Name","Τιμολόγηση σε Όνομα"
"Status","Κατάσταση"
"Refunded","Επιστράφηκαν"
"Order Status","Κατάσταση Παραγγελίας"
"Billing Address","Διεύθυνση Χρέωσης"
"Shipping Address","Διεύθυνση Αποστολής"
"Customer Name","Όνομα Πελάτη"
"Email","Email"
"Customer Group","Ομάδα Πελατών"
"Payment Method","Μέθοδος Πληρωμής"
"Shipping Information","Πληροφορίες Αποστολής"
"Subtotal","Υποσύνολο"
"Shipping & Handling","Μεταφορικά & Διεκπεραιωτικά"
"Adjustment Refund","Ρύθμιση επιστροφής"
"Adjustment Fee","Τέλος Προσαρμογής"
"Grand Total","Γενικό Σύνολο"
"Return to Order Management","Επιστροφή στην Διαχείριση Παραγγελίας"
"Purchase Point","Σημείο Αγοράς"
"Cancel","Άκυρο"
"Hold","Αναμονή"
"Unhold","Διακοπή αναμονής"
"Print Invoices","Εκτύπωση τιμολογίων"
"Print Packing Slips","Εκτύπωση δελτίων συσκευασίας"
"Print Credit Memos","Εκτυπώστε Πιστωτικά Τιμολόγια"
"Print All","Εκτύπωση όλων"
"Print Shipping Labels","Εκτυπώστε Ετικέτες Αποστολής"
"Remove to Archive","Remove to Archive"
"ID","ID"
"Purchase Date","Ημερομηνία Αγοράς"
"Ship-to Name","Αποστολή σε Όνομα"
"Grand Total (Base)","Γενικό σύνολο (βάση)"
"Grand Total (Purchased)","Γενικό σύνολο (αγοράστηκαν)"
"Customer Email","Email Πελάτη"
"Shipping and Handling","Μεταφορικά & Διεκπεραιωτικά"
"Total Refunded","Συνολικό ποσό Επιστροφής"
"PDF Invoices","PDF Παραστατικά"
"Invoice","Παραστατικό"
"Invoice Date","Ημ/νία Τιμολόγησης"
"Order #","Παραγγελία #"
"Amount","Ποσό"
"PDF Shipments","PDF Aποστολές"
"Shipment","Αποστολή"
"Ship Date","Ημερομηνία αποστολής"
"Total Quantity","Συνολική ποσότητα"
"Go to Archive","Μεταβείτε στο αρχείο"
"Page not found.","Page not found."
