"Move to Archive","Flyt til arkivet"
"Move to Order Management","Move to Order Management"
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Please specify the order ID to be archived."
"Credit Memos","Kreditnotaer"
"Invoices","Fakturaer"
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"Orders","Ordrer"
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"Shipments","Leveringer"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Archive","Arkivér"
"Restore from Archive","Restore from Archive"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
"Enable Archiving","Enable Archiving"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Masse Tilføj"
"Add","Tilføj"
"Sales Archive","Sales Archive"
"All Store Views","Alle butiks visninger"
"Purchased From","Purchased From"
"PDF Credit Memos","PDF Credit Memos"
"Credit Memo","Kreditnota"
"Created","Oprettet"
"Order","Bestil"
"Order Date","Ordredato"
"Bill-to Name","Fakturanavn"
"Status","Status"
"Refunded","Refunderet"
"Order Status","Ordrestatus"
"Billing Address","Faktureringsadresse"
"Shipping Address","Leveringsadresse"
"Customer Name","Customer Name"
"Email","E-mail"
"Customer Group","Kundegruppe"
"Payment Method","Betalingsmetode"
"Shipping Information","Leveringsinformation"
"Subtotal","Subtotal"
"Shipping & Handling","Levering & håndtering"
"Adjustment Refund","Refundering af justering"
"Adjustment Fee","Justerings gebyr"
"Grand Total","Ordretotal"
"Return to Order Management","Return to Order Management"
"Purchase Point","Purchase Point"
"Cancel","Annuller"
"Hold","Tilbagehold"
"Unhold","Fjern tilbageholdelse"
"Print Invoices","Print Invoices"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Print Credit Memos"
"Print All","Print All"
"Print Shipping Labels","Print Shipping Labels"
"Remove to Archive","Remove to Archive"
"ID","ID"
"Purchase Date","Purchase Date"
"Ship-to Name","Leveringsnavn"
"Grand Total (Base)","Total (Grundlag)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Email","Customer Email"
"Shipping and Handling","Levering og håndtering"
"Total Refunded","Refunderet i alt"
"PDF Invoices","PDF Invoices"
"Invoice","Faktura"
"Invoice Date","Invoice Date"
"Order #","Ordre #"
"Amount","Beløb"
"PDF Shipments","PDF Shipments"
"Shipment","Levering"
"Ship Date","Ship Date"
"Total Quantity","Total Quantity"
"Go to Archive","Go to Archive"
"Page not found.","Page not found."
