"Move to Archive","Siirrä arkistoon"
"Move to Order Management","Siirrä tilausten hallintaan"
"We have archived the order.","Tilaus on arkistoitu."
"Please specify the order ID to be archived.","Määritä arkistoitavan tilauksen tunnus."
"Credit Memos","Hyvityslaskut"
"Invoices","Laskut"
"We archived %1 order(s).","%1 tilaus(ta) arkistoitiin."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"Orders","Tilaukset"
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"Shipments","Lähetykset"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Archive","Arkisto"
"Restore from Archive","Palauta arkistosta"
"Orders, Invoices, Shipments, Credit Memos Archiving","Tilaukset, laskut, lähetykset, hyvityslaskut arkistointi"
"Enable Archiving","Enable Archiving"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Mass Add"
"Add","Lisää"
"Sales Archive","Sales Archive"
"All Store Views","Kaikki kauppanäkymät"
"Purchased From","Ostettu kohteesta"
"PDF Credit Memos","PDF hyvityslaskut"
"Credit Memo","Hyvityslasku"
"Created","Luotu"
"Order","Tilaus"
"Order Date","Tilauspäivämäärä"
"Bill-to Name","Laskutusasiakkaan nimi"
"Status","Tila"
"Refunded","Hyvitetty"
"Order Status","Tilauksen tila"
"Billing Address","Laskutusosoite"
"Shipping Address","Toimitusosoite"
"Customer Name","Asiakkaan nimi"
"Email","Sähköposti"
"Customer Group","Asiakasryhmä"
"Payment Method","Maksutapa"
"Shipping Information","Toimitustiedot"
"Subtotal","Välisumma"
"Shipping & Handling","Toimitus- ja käsittelykulut"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Grand Total","Loppusumma"
"Return to Order Management","Return to Order Management"
"Purchase Point","Ostopiste"
"Cancel","Peruuta"
"Hold","Pitoon"
"Unhold","Vapauta pidosta"
"Print Invoices","Tulosta laskut"
"Print Packing Slips","Tulosta pakkauslistat"
"Print Credit Memos","Tulosta hyvityslaskut"
"Print All","Tulosta kaikki"
"Print Shipping Labels","Tulosta osoitetarrat"
"Remove to Archive","Remove to Archive"
"ID","Tunnus"
"Purchase Date","Ostopäivämäärä"
"Ship-to Name","Vastaanottajan nimi"
"Grand Total (Base)","Loppusumma (oletusvaluutassa)"
"Grand Total (Purchased)","Loppusumma (käytetty valuutta)"
"Customer Email","Asiakkaan sähköposti"
"Shipping and Handling","Lähetys- ja käsittelykulut"
"Total Refunded","Yhteensä hyvitetty"
"PDF Invoices","PDF-laskut"
"Invoice","Lasku"
"Invoice Date","Laskun päiväys"
"Order #","Tilausnumero"
"Amount","Summa"
"PDF Shipments","PDF-lähetysasiakirjat"
"Shipment","Lähetys"
"Ship Date","Toimituspäivämäärä"
"Total Quantity","Kokonaismäärä"
"Go to Archive","Go to Archive"
"Page not found.","Page not found."
