"Move to Archive","Premesti to Arhiva"
"Move to Order Management","Premesti to Porudžbina Management"
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Molimo navedite the order ID to be archived."
"Credit Memos","Kreditna odobrenja"
"Invoices","Fakture"
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"Orders","Porudžbine"
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Molimo navedite the order ID to be removed from archive."
"Shipments","Isporuke"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. Sve of them will be moved to the regular table after the archive is disabled."
"Archive","Arhiva"
"Restore from Archive","Vrati from Arhiva"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Fakture, Pošiljke, Kreditna odobrenja Archiving"
"Enable Archiving","Omogući Archiving"
"Archive Orders Purchased","Arhiva Orders Purchased"
"Order Statuses to be Archived","Porudžbina Statuses to be Archived"
"Mass Add","Mass Dodaj"
"Add","Dodaj"
"Sales Archive","Prodaja Arhiva"
"All Store Views","Svi pregledi prodavnica"
"Purchased From","Kupljeno iz"
"PDF Credit Memos","PDF Kreditna odobrenja"
"Credit Memo","Kreditno odobrenje"
"Created","Kreiran"
"Order","Porudžbina"
"Order Date","Datum porudžbine"
"Bill-to Name","Račun na Ime"
"Status","Status"
"Refunded","Povraćen novac"
"Order Status","Status porudžbine"
"Billing Address","Adresa za fakturisanje"
"Shipping Address","Adresa za isporuku"
"Customer Name","Kupac Naziv"
"Email","E-pošta"
"Customer Group","Grupa kupaca"
"Payment Method","Način plaćanja"
"Shipping Information","Informacije o dostavi"
"Subtotal","Međuzbir"
"Shipping & Handling","Dostava i rukovanje"
"Adjustment Refund","Adjustment Povraćaj"
"Adjustment Fee","Naknada za prilagođavanje"
"Grand Total","Ukupna vrednost"
"Return to Order Management","Povraćaj to Porudžbina Management"
"Purchase Point","Kupovina"
"Cancel","Odustani"
"Hold","Zadrži"
"Unhold","Otpusti"
"Print Invoices","Štampaj Fakture"
"Print Packing Slips","Štampaj Packing Slips"
"Print Credit Memos","Štampaj Kreditna odobrenja"
"Print All","Štampaj Sve"
"Print Shipping Labels","Štampaj Dostava Labels"
"Remove to Archive","Ukloni to Arhiva"
"ID","ID"
"Purchase Date","Purchase Datum"
"Ship-to Name","Dostava na Ime"
"Grand Total (Base)","Grand Ukupno (Base)"
"Grand Total (Purchased)","Grand Ukupno (Purchased)"
"Customer Email","Kupac E-pošta"
"Shipping and Handling","Dostava and Handling"
"Total Refunded","Ukupno Refunded"
"PDF Invoices","PDF Fakture"
"Invoice","Faktura"
"Invoice Date","Faktura Datum"
"Order #","Porudžbina #"
"Amount","Iznos"
"PDF Shipments","PDF Pošiljke"
"Shipment","Pošiljka"
"Ship Date","Ship Datum"
"Total Quantity","Ukupno Količina"
"Go to Archive","Go to Arhiva"
"Page not found.","Stranica nije pronađena."
