"Move to Archive","Verplaats naar Archief"
"Move to Order Management","Verplaats naar Order Beheer"
"We have archived the order.","We hebben de bestelling gearchiveerd."
"Please specify the order ID to be archived.","Geef een Bestelling-ID op om te archiveren."
"Credit Memos","Creditfacturen"
"Invoices","Facturen"
"We archived %1 order(s).","We hebben %1 bestelling(en) gearchiveerd."
"We can't archive the selected order(s).","We kunnen de geselecteerde bestelling(en) niet archiveren."
"We removed %1 order(s) from the archive.","We verwijderden %1 bestelling(en) van het archief."
"Orders","Bestellingen"
"We have removed the order from the archive.","We hebben de bestelling van het archief verwijderd."
"Please specify the order ID to be removed from archive.","Geef het Bestelling-ID op om het te verwijderen uit het archief."
"Shipments","Verzendingen"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","Er zijn %1 bestellingen in dit archief. Ze zullen allemaal verplaatst worden naar de gewone tabel nadat het archief is uitgeschakeld."
"Archive","Archief"
"Restore from Archive","Herstellen vanuit Archief"
"Orders, Invoices, Shipments, Credit Memos Archiving","Achivering van orders, facturen, verzendingen, creditfacturen"
"Enable Archiving","Archivering in staat stellen"
"Archive Orders Purchased","Archief Orders Gekocht"
"Order Statuses to be Archived","Order statussen om te archiveren"
"Mass Add","Massaal toevoegen"
"Add","Toevoegen"
"Sales Archive","Verkoop Archief"
"All Store Views","Alle Winkelaanzichten"
"Purchased From","Gekocht via"
"PDF Credit Memos","PDF creditfacturen"
"Credit Memo","Creditfactuur"
"Created","Aangemaakt"
"Order","Bestelling"
"Order Date","Besteldatum"
"Bill-to Name","Factuurnaam"
"Status","status"
"Refunded","Teruggestort"
"Order Status","Bestelling Status"
"Billing Address","Factuuradres"
"Shipping Address","Bezorgadres"
"Customer Name","Naam klant"
"Email","E-mail"
"Customer Group","Klantengroep"
"Payment Method","Betaalmethode"
"Shipping Information","Bezorg Informatie"
"Subtotal","Subtotaal"
"Shipping & Handling","Verzending en verwerking"
"Adjustment Refund","Extra creditering (klant extra terug betalen)"
"Adjustment Fee","Crediteringskosten (klant minder terug betalen)"
"Grand Total","Eindtotaal"
"Return to Order Management","Terug naar Order Management"
"Purchase Point","Verkooppunt"
"Cancel","Annuleer"
"Hold","Vasthouden"
"Unhold","Vrijgeven"
"Print Invoices","Facturen printen"
"Print Packing Slips","Pakbonnen afdrukken"
"Print Credit Memos","Alle creditfacturen printen"
"Print All","Alles printen"
"Print Shipping Labels","Print verzendlabels"
"Remove to Archive","Remove to Archive"
"ID","ID"
"Purchase Date","Aankoopdatum"
"Ship-to Name","Verzendnaam"
"Grand Total (Base)","Eindtotaal (Basis)"
"Grand Total (Purchased)","Eindtotaal (Gekocht)"
"Customer Email","Klant e-mail"
"Shipping and Handling","Verzend- en administratiekosten"
"Total Refunded","Totaal terugbetaald"
"PDF Invoices","PDF facturen"
"Invoice","Factuur"
"Invoice Date","Factuurdatum"
"Order #","Ordernr."
"Amount","Aantal"
"PDF Shipments","PDF-zendingen"
"Shipment","Verzending"
"Ship Date","Verzenddatum"
"Total Quantity","Totaal aantal"
"Go to Archive","Ga naar het archief"
"Page not found.","Page not found."
