"Move to Archive","Přesunout do archivu"
"Move to Order Management","Move to Order Management"
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Please specify the order ID to be archived."
"Credit Memos","Dobropisy"
"Invoices","Faktury"
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"Orders","Objednávky"
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"Shipments","Zásilky"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Archive","Archiv"
"Restore from Archive","Restore from Archive"
"Orders, Invoices, Shipments, Credit Memos Archiving","Archivace objednávek, faktur, zásilek a dobropisů"
"Enable Archiving","Povolit archivaci"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Hromadné přidání"
"Add","Přidat"
"Sales Archive","Sales Archive"
"All Store Views","Všechna zobrazení obchodu"
"Purchased From","Kde objednáno"
"PDF Credit Memos","PDF dobropisy"
"Credit Memo","Dobropis"
"Created","Vytvořeno"
"Order","Objednávka"
"Order Date","Datum objednávky"
"Bill-to Name","Faktura na jméno"
"Status","Stav"
"Refunded","Vráceno"
"Order Status","Stav objednávky"
"Billing Address","Fakturační adresa"
"Shipping Address","Doručovací adresa"
"Customer Name","Jméno zákazníka"
"Email","E-mail"
"Customer Group","Zákaznická skupina"
"Payment Method","Způsob platby"
"Shipping Information","Informace o dopravě"
"Subtotal","Mezisoučet"
"Shipping & Handling","Dopravné a balné"
"Adjustment Refund","Nastavení vratky"
"Adjustment Fee","Nastavení poplatku"
"Grand Total","Celkový součet"
"Return to Order Management","Return to Order Management"
"Purchase Point","Místo nákupu"
"Cancel","Zrušit"
"Hold","Pozastavit"
"Unhold","Uvolnit"
"Print Invoices","Tisk faktur"
"Print Packing Slips","Tisk zásilek"
"Print Credit Memos","Tisknout dobropisy"
"Print All","Vytisknout vše"
"Print Shipping Labels","Tisk štítků pro dopravu"
"Remove to Archive","Remove to Archive"
"ID","ID"
"Purchase Date","Datum nákupu"
"Ship-to Name","Doručit na jméno"
"Grand Total (Base)","Celkový součet (základ)"
"Grand Total (Purchased)","Celkový součet (koupeno)"
"Customer Email","E-mail zákazníka"
"Shipping and Handling","Dopravné a balné"
"Total Refunded","Celkem vráceno"
"PDF Invoices","PDF faktury"
"Invoice","Faktura"
"Invoice Date","Datum fakturace"
"Order #","Objednávka č."
"Amount","Množství"
"PDF Shipments","PDF zásilky"
"Shipment","Zásilka"
"Ship Date","Datum zásilky"
"Total Quantity","Celkové množství"
"Go to Archive","Přejít do archivu"
"Page not found.","Stránka nenalezena."
