"Move to Archive","Arşive taşı"
"Move to Order Management","Sipariş Yönetimi Taşı"
"We have archived the order.","Siparişi arşivledik."
"Please specify the order ID to be archived.","Lütfen arşivlenecek sipariş kimliğini belirtin."
"Credit Memos","İade Kayıtları"
"Invoices","Faturalar"
"We archived %1 order(s).","%1 sipariş (ler) i arşivledik."
"We can't archive the selected order(s).","Seçili sipariş(ler)'i arşivleyemiyoruz."
"We removed %1 order(s) from the archive.","%1 sipariş (ler) i arşivden kaldırdık."
"Orders","Siparişler"
"We have removed the order from the archive.","Arşivden sipariş kaldırdık."
"Please specify the order ID to be removed from archive.","Lütfen arşivden kaldırılacak sipariş kimliğini belirtin."
"Shipments","Teslimatlar"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","Bu arşivde%1 sipariş var. Arşiv devre dışı bırakıldıktan sonra hepsi normal masaya taşınacaktır."
"Archive","Arşiv"
"Restore from Archive","Arşivden geri yükle"
"Orders, Invoices, Shipments, Credit Memos Archiving","Siparişler, Faturalar, Gönderiler, Kredi Notları Arşivleme"
"Enable Archiving","Arşivlemeyi etkinleştir"
"Archive Orders Purchased","Arşiv siparişleri satın alındı"
"Order Statuses to be Archived","Arşivlenen Sipariş Durumları"
"Mass Add","Kitle Ekle"
"Add","Ekle"
"Sales Archive","Satış arşivi"
"All Store Views","Tüm Mağaza Görünümleri"
"Purchased From","Satın Alındığı Yer"
"PDF Credit Memos","PDF İade Kaydı"
"Credit Memo","İade kaydı"
"Created","Oluşturuldu"
"Order","Sipariş"
"Order Date","Sipariş Tarihi"
"Bill-to Name","Fatura adı"
"Status","Durum"
"Refunded","İadesi Yapıldı"
"Order Status","Sipariş Durumu"
"Billing Address","Fatura Adresi"
"Shipping Address","Teslimat Adresi"
"Customer Name","Müşteri Adı"
"Email","E-posta"
"Customer Group","Müşteri Grupları"
"Payment Method","Tahsilat Yöntemi"
"Shipping Information","Teslimat Bilgisi"
"Subtotal","Ara Toplam"
"Shipping & Handling","Teslimat & Teslim Alma"
"Adjustment Refund","Ayarlama Ücreti İadesi"
"Adjustment Fee","Ayarlama Ücreti"
"Grand Total","Genel Toplam"
"Return to Order Management","Sipariş Yönetimine Geri Dön"
"Purchase Point","Satın alma Noktası"
"Cancel","İptal"
"Hold","Askıya Al"
"Unhold","Beklemeden Çıkar"
"Print Invoices","Faturaları Yazdır"
"Print Packing Slips","Baskı Paketleme Fişleri"
"Print Credit Memos","Tüm İade Kayıtlarını Yazdır"
"Print All","Hepsini Yazdır"
"Print Shipping Labels","Kargo Etiketlerini Yazdır"
"Remove to Archive","Remove to Archive"
"ID","No"
"Purchase Date","Satın alma tarihi"
"Ship-to Name","İsme Sevk"
"Grand Total (Base)","Genel Toplam (Temel)"
"Grand Total (Purchased)","Genel toplam (satın alınmış)"
"Customer Email","Müşteri E-posta Adresi"
"Shipping and Handling","Teslimat & Teslim Alma"
"Total Refunded","Toplam İade Edilenler"
"PDF Invoices","PDF Faturalar"
"Invoice","Fatura"
"Invoice Date","Fatura Tarihi"
"Order #","Sipariş #"
"Amount","Tutar"
"PDF Shipments","PDF Gönderileri"
"Shipment","Teslimat"
"Ship Date","Sevkiyat tarihi"
"Total Quantity","Toplam Miktar"
"Go to Archive","Arşive git"
"Page not found.","Page not found."
