"Move to Archive","Przenieść do archiwum"
"Move to Order Management","Przenieść do zarządzania zamówieniami"
"We have archived the order.","Zamówienie zostało zarchiwizowane."
"Please specify the order ID to be archived.","Określ identyfikator zamówienia do zarchiwizowania."
"Credit Memos","Faktury korygujące"
"Invoices","Faktury"
"We archived %1 order(s).","Zarchiwizowaliśmy %1 zamówień."
"We can't archive the selected order(s).","Nie można archiwizować wybranego zamówienia."
"We removed %1 order(s) from the archive.","Usunęliśmy %1 zamówień z archiwum."
"Orders","Zamówienia"
"We have removed the order from the archive.","Usunęliśmy zamówienie z archiwum."
"Please specify the order ID to be removed from archive.","Określ identyfikator zamówienia które ma być usunięte z archiwum."
"Shipments","Dostawy"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","Istnieje %1 zamówień w tym archiwum. Wszystkie z nich zostaną przeniesione do tabeli regularnej po  wyłączaniu archiwum."
"Archive","Archiwizuj"
"Restore from Archive","Przywróć z archiwum"
"Orders, Invoices, Shipments, Credit Memos Archiving","Archiwizacja zamówień, faktur, wysyłek, faktur korygujących"
"Enable Archiving","Włącz archiwizowanie"
"Archive Orders Purchased","Archiwum zamówień"
"Order Statuses to be Archived","Statusy zamówień zostaną zarchiwizowane"
"Mass Add","Dodawanie masowe"
"Add","Dodaj"
"Sales Archive","Archiwum sprzedaży"
"All Store Views","Wszystkie widoki sklepu"
"Purchased From","Kupiono od"
"PDF Credit Memos","Pobierz fakturę korygującą"
"Credit Memo","Faktura korygująca"
"Created","Utworzono"
"Order","Zamówienie"
"Order Date","Data zamówienia"
"Bill-to Name","Rachunek na"
"Status","Stan"
"Refunded","Zwrócone"
"Order Status","Stan zamówienia"
"Billing Address","Adres rozliczeniowy"
"Shipping Address","Adres wysyłki"
"Customer Name","Nazwisko klienta"
"Email","E-mail"
"Customer Group","Grupa klienta"
"Payment Method","Metoda płatności"
"Shipping Information","Informacje o dostawie"
"Subtotal","Suma częściowa"
"Shipping & Handling","Wysyłka i obsługa"
"Adjustment Refund","Zwrot manipulacyjny"
"Adjustment Fee","Opłata manipulacyjna"
"Grand Total","Łącznie"
"Return to Order Management","Wróć do zarządzania zamówieniami"
"Purchase Point","Miejsce zakupu"
"Cancel","Anuluj"
"Hold","Wstrzymaj"
"Unhold","Odblokuj"
"Print Invoices","Drukuj faktury"
"Print Packing Slips","Drukuj dokumenty dostawy"
"Print Credit Memos","Drukuj faktury korygujące"
"Print All","Drukuj wszystko"
"Print Shipping Labels","Drukuj etykiety adresowe"
"Remove to Archive","Remove to Archive"
"ID","Identyfikator"
"Purchase Date","Data zakupu"
"Ship-to Name","Dostawa do"
"Grand Total (Base)","Łączna suma (podstawowy)"
"Grand Total (Purchased)","Łączna suma (zakupu)"
"Customer Email","E-mail klienta"
"Shipping and Handling","Dostawa i obsługa"
"Total Refunded","Łącznie zwrócono"
"PDF Invoices","Pobierz fakturę"
"Invoice","Faktura"
"Invoice Date","Data wystawienia"
"Order #","Zamówienie #"
"Amount","Kwota"
"PDF Shipments","Wysyłki PDF"
"Shipment","Dostawa"
"Ship Date","Data wysyłki"
"Total Quantity","Całkowita ilość"
"Go to Archive","Przejdź do archiwum"
"Page not found.","Page not found."
