"Move to Archive","Mover al archivo"
"Move to Order Management","Mover a gestión de pedidos"
"We have archived the order.","Hemos archivado la orden."
"Please specify the order ID to be archived.","Por favor especifique el ID de pedido para archivar."
"Credit Memos","Facturas rectificativas"
"Invoices","Facturas"
"We archived %1 order(s).","Hemos archivado %1 orden(es)."
"We can't archive the selected order(s).","No podemos archivar los pedidos seleccionados."
"We removed %1 order(s) from the archive.","Hemos removido %1 pedido(s) del archivo."
"Orders","Pedidos"
"We have removed the order from the archive.","Hemos removido la orden del archivo."
"Please specify the order ID to be removed from archive.","Por favor especifique el ID de pedido para ser removido del archivo."
"Shipments","Envíos"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","Hay %1 órdenes en este archivo. Todos ellas pasarán a la tabla regular después de que el archivo se desactive."
"Archive","Archivo"
"Restore from Archive","Restaurar de Archivo"
"Orders, Invoices, Shipments, Credit Memos Archiving","Archivo de pedidos, facturas, envíos, notas de crédito"
"Enable Archiving","Permitir Archivar"
"Archive Orders Purchased","Archivo de pedidos comprados"
"Order Statuses to be Archived","Estados de pedido para archivar"
"Mass Add","Agregar en masa"
"Add","Agregar"
"Sales Archive","Archivo de Ventas"
"All Store Views","Todas las vistas de la tienda"
"Purchased From","Comprado de"
"PDF Credit Memos","Facturas rectificadas en PDF"
"Credit Memo","Factura rectificativa"
"Created","Creado"
"Order","Encargar"
"Order Date","Fecha del pedido"
"Bill-to Name","Nombre de facturación"
"Status","Estatus"
"Refunded","Reembolsado."
"Order Status","Estado de pedido"
"Billing Address","Dirección de facturación"
"Shipping Address","Dirección de envío"
"Customer Name","Cliente nombre"
"Email","Correo electrónico"
"Customer Group","Grupo del cliente"
"Payment Method","Método de pago"
"Shipping Information","Información de envío"
"Subtotal","Subtotal"
"Shipping & Handling","Cargos por manejos y envío"
"Adjustment Refund","Reembolso de una corrección"
"Adjustment Fee","Recargo de una corrección"
"Grand Total","Total general"
"Return to Order Management","Mover a gestión de pedidos"
"Purchase Point","Punto de compra"
"Cancel","Cancelar"
"Hold","Reservar"
"Unhold","Reactivar"
"Print Invoices","Imprimir facturas"
"Print Packing Slips","Imprimir guias de envio"
"Print Credit Memos","Imprimir facturas rectificadas"
"Print All","Imprimir todo"
"Print Shipping Labels","Imprimir etiquetas de envío"
"Remove to Archive","Remover a Archivo"
"ID","Número de Identificación (ID)"
"Purchase Date","Fecha de compra"
"Ship-to Name","Nombre de envío"
"Grand Total (Base)","Gran Total (Base)"
"Grand Total (Purchased)","Gran Total (comprado)"
"Customer Email","Correo electrónico del cliente"
"Shipping and Handling","Gastos de envío"
"Total Refunded","Total reembolsado"
"PDF Invoices","Facturas en PDF"
"Invoice","Factura"
"Invoice Date","Fecha de la factura"
"Order #","Pedido nº "
"Amount","Importe"
"PDF Shipments","Albaranes PDF"
"Shipment","Envío"
"Ship Date","Fecha de envío"
"Total Quantity","Cantidad Total"
"Go to Archive","Ir a archivo"
"Page not found.","Página no encontrada."
