"Add Tax","Додај Порез"
"Delete Tax","Обриши Порез"
"All Websites","Све Wеб локације"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","Including FPT only"
"Including FPT and FPT description","Including FPT and FPT description"
"Excluding FPT. Including FPT description and final price","Excluding FPT. Including FPT description and final price"
"Excluding FPT","Excluding FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Фиxед Производ Порез"
"Country/State","Земља/Држава"
"Tax","Порез"
"Website","Wеб сајт"
"Action","Акција"
"Excl. Tax","Без пореза"
"Total","Укупно"
"Incl. Tax","Износ са ПДВ"
"Total Incl. Tax","Укупно Инцл. Порез"
"Final Price","Финал Цена"
"Fixed Product Taxes","Фиxед Производ Таxес"
"Enable FPT","Омогући ФПТ"
"Display Prices In Product Lists","Дисплаy Прицес Ин Производ Листс"
"Display Prices On Product View Page","Дисплаy Прицес Укључено Производ Преглед Страница"
"Display Prices In Sales Modules","Дисплаy Прицес Ин Продаја Модулес"
"Display Prices In Emails","Display Prices In Emails"
"Apply Tax To FPT","Примени Порез То ФПТ"
"Include FPT In Subtotal","Укључи ФПТ Ин Међузбир"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Сет униqуе цоунтрy-стате цомбинатионс wитхин тхе саме фиxед продуцт таx. Верифy тхе цомбинатионс анд покушајте поново."
