"Add Tax","加税"
"Delete Tax","删除税"
"All Websites","所有网站"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","只包括 FPT"
"Including FPT and FPT description","包括 FPT 和 FPT 描述"
"Excluding FPT. Including FPT description and final price","不包括 FPT。包括 FPT 描述和最终价格"
"Excluding FPT","不包括 FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","固定的产品税"
"Country/State","国家/州"
"Tax","税"
"Website","网站"
"Action","操作"
"Excl. Tax","不含税"
"Total","总额"
"Incl. Tax","含。税"
"Total Incl. Tax","含税总价"
"Final Price","最终价格"
"Fixed Product Taxes","固定的产品税"
"Enable FPT","启用 FPT"
"Display Prices In Product Lists","在产品列表中显示的价格"
"Display Prices On Product View Page","产品视图页面上显示的价格"
"Display Prices In Sales Modules","在销售模块中显示价格"
"Display Prices In Emails","在电子邮件中显示的价格"
"Apply Tax To FPT","适用于 FPT 税"
"Include FPT In Subtotal","在分类汇总中包括 FPT"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
