"Add Tax","Dodaj Porez"
"Delete Tax","Obriši Porez"
"All Websites","Sve Web lokacije"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","Including FPT only"
"Including FPT and FPT description","Including FPT and FPT description"
"Excluding FPT. Including FPT description and final price","Excluding FPT. Including FPT description and final price"
"Excluding FPT","Excluding FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Fixed Proizvod Porez"
"Country/State","Zemlja/Država"
"Tax","Porez"
"Website","Web sajt"
"Action","Akcija"
"Excl. Tax","Bez poreza"
"Total","Ukupno"
"Incl. Tax","Iznos sa PDV"
"Total Incl. Tax","Ukupno Incl. Porez"
"Final Price","Final Cena"
"Fixed Product Taxes","Fixed Proizvod Taxes"
"Enable FPT","Omogući FPT"
"Display Prices In Product Lists","Display Prices In Proizvod Lists"
"Display Prices On Product View Page","Display Prices Uključeno Proizvod Pregled Stranica"
"Display Prices In Sales Modules","Display Prices In Prodaja Modules"
"Display Prices In Emails","Display Prices In Emails"
"Apply Tax To FPT","Primeni Porez To FPT"
"Include FPT In Subtotal","Uključi FPT In Međuzbir"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and pokušajte ponovo."
