"Add Tax","Tambah Pajak"
"Delete Tax","Hapus Pajak"
"All Websites","Semua Website"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","Termasuk FPT saja"
"Including FPT and FPT description","Termasuk deskripsi FPT dan FPT"
"Excluding FPT. Including FPT description and final price","Tidak termasuk FPT. Termasuk deskripsi FPT dan harga akhir"
"Excluding FPT","Tidak termasuk FPT"
"label_value","label nilai"
"frontend_label","frontend_label"
"Fixed Product Tax","Pajak Produk Tetap"
"Country/State","Negara Bagian"
"Tax","Pajak"
"Website","Situs web"
"Action","Tindakan"
"Excl. Tax","Belum termasuk pajak"
"Total","Jumlah"
"Incl. Tax","Incl. Pajak"
"Total Incl. Tax","Total Incl. Pajak"
"Final Price","Harga akhir"
"Fixed Product Taxes","Pajak Produk Tetap"
"Enable FPT","Aktifkan FPT"
"Display Prices In Product Lists","Menampilkan Harga Dalam Daftar Produk"
"Display Prices On Product View Page","Menampilkan Harga Pada Tampilan Produk"
"Display Prices In Sales Modules","Menampilkan Harga dalam Modul Penjualan"
"Display Prices In Emails","Menampilkan Harga Di Email"
"Apply Tax To FPT","Terapkan Pajak Untuk FPT"
"Include FPT In Subtotal","Sertakan FPT Secara Subtotal"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
