"Indexer Management","Manajemen Pengindeksan"
"%status (%count in backlog)","%status (%count in backlog)"
"Update by Schedule","Update menurut Jadwal"
"Update on Save","Update on Save"
"Reindex required","Reindex dibutuhkan"
"Ready","Siap"
"Processing","Pengolahan"
"Never","Tidak pernah"
"has been rebuilt successfully in %time","has been rebuilt successfully in %time"
"%1 index is locked by another reindex process. Skipping.","%1 indeks dikunci oleh proses reindex yang lain. Melompati."
"Index Management","Manajemen Indeks"
"Please select indexers.","Silahkan pilih pengindeks."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 indexer (s) berada dalam mode ""Update by Schedule""."
"We couldn't change indexer(s)' mode because of an error.","Kami tidak dapat mengubah mode pengindeksan karena kesalahan."
"%1 indexer(s) were invalidated.","%1 indexer(s) were invalidated."
"We couldn't invalidate indexer(s) because of an error.","We couldn't invalidate indexer(s) because of an error."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 indexer (s) berada dalam mode ""Update on Save""."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Satu atau beberapa <a href=""%1"">pengindeks tidak valid</a>. Pastikan <a href=""%2"" target=""_blank"">tugas kiriman Magento</a> Anda sedang berjalan."
"Child process failed with message: %1","Child process failed with message: %1"
"State for the same indexer","Nyatakan untuk pengindeks yang sama"
"State for the same view","Negara untuk pandangan yang sama"
"Field '%1' not found","Bidang '%1' tidak ditemukan"
"Some Exception Message","Beberapa Pesan Kesalahan"
"Test Phrase","Uji Frase"
"Change indexer mode","Ubah mode pengindeks"
"Invalidate index","Invalidate index"
"Are you sure you want to invalidate the selected index(es)?","Are you sure you want to invalidate the selected index(es)?"
"Indexer","Indexer"
"Description","Deskripsi"
"Mode","Mode"
"Status","Subjek"
"Schedule Status","Schedule Status"
"Updated","Diperbarui"
