"Indexer Management","Quản lý Chỉ mục "
"Update by Schedule","Cập Nhật theo lịch biểu"
"Update on Save","Cập Nhật ngày lưu"
"Reindex required","Lập chỉ mục lại yêu cầu"
"Ready","Sẵn sàng"
"Processing","Đang tiến hành"
"Never","Không bao giờ"
"%1 index is locked by another reindex process. Skipping.","%1 chỉ số đã bị khoá bởi một tiến trình khác. Bỏ qua."
"Index Management","Quản lý chỉ mục"
"Please select indexers.","Vui lòng chọn chỉ mục."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 chỉ mục đang ở chế độ ""Cập Nhật bởi lịch trình""."
"We couldn't change indexer(s)' mode because of an error.","Chúng tôi không thể thay đổi chế độ chỉ mục vì một lỗi."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 chỉ mục đang ở chế độ ""Cập Nhật ngày tiết kiệm""."
"One or more <a href=""%1"">indexers are invalid</a>. Make sure your <a href=""%2"" target=""_blank"">Magento cron job</a> is running.","Một hoặc nhiều <a href=""%1""> indexers là không hợp lệ</a>. Đảm bảo rằng <a href=""%2"" target=""_blank""> công việc cron Magento</a> đang chạy."
"State for the same indexer","Nhà nước cho các chỉ mục giống nhau"
"State for the same view","Các tiểu bang để xem cùng một"
"Field '%1' not found","Trường '%1' không tìm thấy"
"Some Exception Message","Một số thông báo ngoại lệ"
"Test Phrase","Kiểm tra cụm từ"
"Change indexer mode","Thay đổi chỉ mục chế độ"
"Indexer","Chỉ mục"
"Description","Mô tả"
"Mode","Chế độ"
"Status","Trạng thái"
"Updated","Đã cập nhật"
