"[GLOBAL]","[GLOBALT]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[BUTIKSVY]"
"The current module XML block name is undefined.","Det aktuella XML-block- namnet är odefinierad."
"The current module form model pathname is undefined.","The current module form model pathname is undefined."
"No","Nej"
"Yes","Ja"
"Use helper with defined EAV entity.","Använda helper med definierad EAV entitet."
"Default EAV Form","Standardform för EAV"
"Please correct the values for minimum and maximum text length validation rules.","Vänligen korrigera värdena för minsta och högsta textlängd för valideringsreglerna."
"Please correct the values for minimum and maximum date validation rules.","Vänligen korrigera värdena för minsta och högsta datum valideringsreglerna."
"Text Field","Textfält"
"Text Area","Textruta"
"Multiple Line","Flera linjer"
"Date","Datum"
"Dropdown","Rullgardinsmeny"
"Multiple Select","Flerval"
"Yes/No","Ja/Nej"
"File (attachment)","Bifogad fil"
"Image File","Bildfil"
"Alphanumeric","Alfanumerisk"
"Numeric Only","Endast numeriska värden"
"Alpha Only","Alpha endast"
"URL","Webbadress"
"Email","E-post"
"Strip HTML Tags","Ta bort HTML-taggar"
"Escape HTML Entities","Ange Escape karaktärer för HTML-entiteter"
"Normalize Date","Normalisera datum"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","Attributkoden är ogiltig. Använd endast bokstäver (a-z), siffror (0-9) eller understreck (_) i fältet. Det första tecknet bör vara en bokstav."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Alphanumeric with spaces","Alphanumeric with spaces"
