"[GLOBAL]","[גלובלי]"
"[WEBSITE]","[אתר]"
"[STORE VIEW]","[תצוגת חנות]"
"The current module XML block name is undefined.","השם עבור בלוק ה-XML במודול הנוכחי אינו מוגדר."
"The current module form model pathname is undefined.","טופס pathname המודול הנוכחי אינו מוגדר."
"No","לא"
"Yes","כן"
"Use helper with defined EAV entity.","השתמש בhelper עם ישות EAV מוגדרים."
"Default EAV Form","ברירת מחדל של טופס EAV"
"Please correct the values for minimum and maximum text length validation rules.","נא תקן את הערכי המינימום והמקסימום עבור אורך הטקסט לכללי האימות."
"Please correct the values for minimum and maximum date validation rules.","נא תקן את הערכי המינימום והמקסימום עבור אורך התאריך לכללי האימות."
"Text Field","שדה טקסט"
"Text Area","אזור טקסט"
"Multiple Line","שורות מרובות"
"Date","תאריך"
"Dropdown","רשימה נפתחת"
"Multiple Select","בחירה מרובה"
"Yes/No","כן/לא"
"File (attachment)","קובץ (קובץ מצורף)"
"Image File","קובץ תמונה"
"Alphanumeric","אלפאנומרי"
"Numeric Only","מספריים בלבד"
"Alpha Only","אלפא בלבד"
"URL","כתובות URL"
"Email","דואר אלקטרוני"
"Strip HTML Tags","רצועת תגי ה-HTML"
"Escape HTML Entities","לברוח ישויות HTML"
"Normalize Date","לנרמל את התאריך"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","קוד התכונה אינו חוקי. נא להשתמש רק באותיות (-z), מספרים (0-9) או מקף תחתון (_) בתחום זה. התו הראשון צריך להיות אות."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Alphanumeric with spaces","Alphanumeric with spaces"
