"[GLOBAL]","[سراسری]"
"[WEBSITE]","[وب‌سایت]"
"[STORE VIEW]","[مشاهده فروشگاه]"
"The current module XML block name is undefined.","نام بلوک XML ماژول فعلی تعریف نشده است."
"The current module form model pathname is undefined.","نام مسیر مدل فرم ماژول فعلی تعریف نشده است."
"No","خیر"
"Yes","بله"
"Use helper with defined EAV entity.","استفاده از helper با ورودی EAV تعریف شده."
"Default EAV Form","فرم پیش فرض EAV"
"Please correct the values for minimum and maximum text length validation rules.","لطفا مقادیر حداقل و حداکثر قواعد اعتبار سنجی طول متن را اصلاح کنید."
"Please correct the values for minimum and maximum date validation rules.","لطفا مقادیر حداقل و حداکثر قواعد اعتبار سنجی تاریخ را اصلاح کنید."
"Text Field","فیلد متنی"
"Text Area","ناحیه‌ی متنی"
"Multiple Line","چند خط"
"Date","تاریخ"
"Dropdown","کشویی"
"Multiple Select","چند انتخابی"
"Yes/No","بله/ خیر"
"File (attachment)","فایل (پیوست)"
"Image File","فایل تصویری"
"Alphanumeric","عدد و حروف"
"Numeric Only","فقط عددی"
"Alpha Only","فقط حروف"
"URL","URL"
"Email","ايميل"
"Strip HTML Tags","برچسب های نوار HTML"
"Escape HTML Entities","از ورودی های HTML صرف نظر کن"
"Normalize Date","نرمالسازی تاریخ"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","کد ویژگی نامعتبر است. لطفا فقط از حروف (a-z)، اعداد (0-9) یا زیرخط (_) در این فیلد استفاده کنید. اولین کاراکتر باید یک حرف باشد."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Alphanumeric with spaces","Alphanumeric with spaces"
