"[GLOBAL]","[ГЛОБАЛЬНО]"
"[WEBSITE]","[САЙТ]"
"[STORE VIEW]","[Представление магазина]"
"The current module XML block name is undefined.","The current module XML block name is undefined."
"The current module form model pathname is undefined.","The current module form model pathname is undefined."
"No","Нет"
"Yes","Да"
"Use helper with defined EAV entity.","Use helper with defined EAV entity."
"Default EAV Form","Форма по умолчанию EAV"
"Please correct the values for minimum and maximum text length validation rules.","Please correct the values for minimum and maximum text length validation rules."
"Please correct the values for minimum and maximum date validation rules.","Please correct the values for minimum and maximum date validation rules."
"Text Field","Текстовое поле"
"Text Area","Текстовая область"
"Multiple Line","Multiple Line"
"Date","Дата"
"Dropdown","Выпадающий список"
"Multiple Select","Множественный выбор"
"Yes/No","Да/Нет"
"File (attachment)","Файл (вложение)"
"Image File","Файл изображения"
"Alphanumeric","Alphanumeric"
"Numeric Only","Numeric Only"
"Alpha Only","Alpha Only"
"URL","URL"
"Email","Электронная почта"
"Strip HTML Tags","Strip HTML Tags"
"Escape HTML Entities","Escape HTML Entities"
"Normalize Date","Normalize Date"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Alphanumeric with spaces","Alphanumeric with spaces"
