"[GLOBAL]","[GLOBAAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[WINKELAANZICHT]"
"The current module XML block name is undefined.","De huidige module XML-blok naam is niet gedefinieerd."
"The current module form model pathname is undefined.","Huidige module vorm model padnaam is niet gedefinieerd."
"No","Nee"
"Yes","Ja"
"Use helper with defined EAV entity.","Gebruik helper met gedefinieerde EAV entiteit."
"Default EAV Form","Standaard EAV Vorm"
"Please correct the values for minimum and maximum text length validation rules.","Corrigeer de waarden voor de minimale en maximale tekstlengte validatieregels."
"Please correct the values for minimum and maximum date validation rules.","Corrigeer de waarden voor de minimale en maximale datum-validatieregels."
"Text Field","Tekstveld"
"Text Area","Tekstgedeelte"
"Multiple Line","Multiple Lijn"
"Date","Datum"
"Dropdown","Dropdown"
"Multiple Select","Multi-select"
"Yes/No","Ja/Nee"
"File (attachment)","Bestand (bijlage)"
"Image File","Afbeeldingsbestand"
"Alphanumeric","Alfanumeriek"
"Numeric Only","Alleen Cijfers"
"Alpha Only","Allen Letters"
"URL","URL"
"Email","E-mail"
"Strip HTML Tags","HTML-tags verwijderen"
"Escape HTML Entities","Escape HTML Eenheden"
"Normalize Date","Normaliseer Datum"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","Attribuutcode is ongeldig. Gebruik alleen letters (a-z), cijfers (0-9) of underscores (_) in dit veld. Eerste teken moet een letter zijn."
"Please correct the value for file extensions.","Corrigeer de waarde voor het bestandsformaat."
"Alphanumeric with spaces","Alfanumerieke met spaties"
