"[GLOBAL]","[グローバル]"
"[WEBSITE]","[ウェブサイト]"
"[STORE VIEW]","[ストアビュー]"
"The current module XML block name is undefined.","現在のモジュールのXMLブロック名は未定義です。"
"The current module form model pathname is undefined.","現在のモジュールフォームパス名は未定義です。"
"No","No"
"Yes","Yes"
"Use helper with defined EAV entity.","定義されたEAVエンティティでヘルパーを使用します。"
"Default EAV Form","標準EAVフォーム"
"Please correct the values for minimum and maximum text length validation rules.","最小および最大テキスト長の検証ルールの値を修正してください。"
"Please correct the values for minimum and maximum date validation rules.","最小および最大日付検証規則の値を修正してください。"
"Text Field","テキストフィールド"
"Text Area","テキストエリア"
"Multiple Line","複数行"
"Date","日付"
"Dropdown","ドロップダウン"
"Multiple Select","複数選択"
"Yes/No","Yes/No"
"File (attachment)","ファイル (添付)"
"Image File","画像ファイル"
"Alphanumeric","半角英数字"
"Numeric Only","数字のみ"
"Alpha Only","半角英字のみ"
"URL","URL"
"Email","Eメール"
"Strip HTML Tags","HTMLタグを除去"
"Escape HTML Entities","HTMLエンティティをエスケープ"
"Normalize Date","日付を正規化"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","属性コードが無効です。 このフィールドには、アルファベット（a-z）、数字（0-9）またはアンダースコア（_）のみを使用してください。 最初の文字は文字でなければなりません。"
"Please correct the value for file extensions.","ファイルの拡張子の値を修正してください。"
"Alphanumeric with spaces","半角英数字とスペース"
