"[GLOBAL]","[ΚΑΘΟΛΙΚΟ]"
"[WEBSITE]","[ΙΣΤΟΤΟΠΟΣ]"
"[STORE VIEW]","[ΠΡΟΒΟΛΗ ΚΑΤΑΣΤΗΜΑΤΟΣ]"
"The current module XML block name is undefined.","Το τρέχον όνομα ενότητας XML μπλοκ δεν έχει οριστεί."
"The current module form model pathname is undefined.","Το τρέχον όνομα μοντέλου διαδρομής φόρμας μονάδας δεν έχει οριστεί."
"No","Όχι"
"Yes","Ναί"
"Use helper with defined EAV entity.","Χρήση βοηθητικού προγράμματος με καθορισμένες EAV οντότητες."
"Default EAV Form","Προεπιλεγμένη φόρμα EAV"
"Please correct the values for minimum and maximum text length validation rules.","Παρακαλώ διορθώστε τις τιμές για το ελάχιστο και το μέγιστο κανόνων επικύρωσης μήκους κειμένων."
"Please correct the values for minimum and maximum date validation rules.","Παρακαλώ διορθώστε τις τιμές για το ελάχιστο και το μέγιστο κανόνων επικύρωσης ημερομηνίας."
"Text Field","Πεδίο κειμένου"
"Text Area","Περιοχή κειμένου"
"Multiple Line","Πολλαπλές γραμμές"
"Date","Ημερομηνία"
"Dropdown","Αναπτυσσόμενο μενού"
"Multiple Select","Πολλαπλή Επιλογή"
"Yes/No","Ναι/όχι"
"File (attachment)","Αρχείο (συνημμένο)"
"Image File","Αρχείο εικόνας"
"Alphanumeric","Αλφαριθμητικό"
"Numeric Only","Μόνο αριθμητικός"
"Alpha Only","Άλφα μόνο"
"URL","Διεύθυνση URL"
"Email","Email"
"Strip HTML Tags","Αφαίρεση στοιχείων HTML"
"Escape HTML Entities","Διαφυγή Οντοτήτων HTML"
"Normalize Date","Ομαλοποίηση ημερομηνίας"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","Ο κωδικός χαρακτηριστικού δεν είναι έγκυρος. Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (a-z), αριθμούς (0-9) ή χαρακτήρες υπογράμμισης (_) στο πεδίο αυτό. Ο πρώτος χαρακτήρας πρέπει να είναι γράμμα."
"Please correct the value for file extensions.","Παρακαλώ διορθώστε τη τιμή για τις επεκτάσεις αρχείου."
"Alphanumeric with spaces","Αλφαριθμητικές με κενά"
