"[GLOBAL]","[全局]"
"[WEBSITE]","[网站]"
"[STORE VIEW]","[店铺视图]"
"The current module XML block name is undefined.","属性代码无效。请在此字段只能使用字母（az），''数字（0-9）或下划线（_）。第一字符应该是一个字母。"
"The current module form model pathname is undefined.","当前模块的形式模型路径名是未定义的。"
"No","否"
"Yes","是"
"Use helper with defined EAV entity.","使用辅助与定义EAV实体。"
"Default EAV Form","默认 EAV 表单"
"Please correct the values for minimum and maximum text length validation rules.","请更正这些值为最小值和最大文本长度验证规则。"
"Please correct the values for minimum and maximum date validation rules.","请更正这些值为最小值和最大日期验证规则。"
"Text Field","文本区"
"Text Area","文本区域"
"Multiple Line","多行"
"Date","日期"
"Dropdown","下拉"
"Multiple Select","多选"
"Yes/No","URL"
"File (attachment)","文件 (附件)"
"Image File","图像文件"
"Alphanumeric","字母表"
"Numeric Only","只有数字"
"Alpha Only","只有阿尔法"
"URL","网址"
"Email","邮箱"
"Strip HTML Tags","带 HTML 标签"
"Escape HTML Entities","转义HTML 实体"
"Normalize Date","正常化日期"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","属性代码是无效的。请使用只可以包含字母 (a 到 z)，' ' 数字 (0-9) 或下划线 (_) 在这一领域。第一个字符应该是一封信。"
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Alphanumeric with spaces","Alphanumeric with spaces"
