"[GLOBAL]","[GLOBÁLNÍ]"
"[WEBSITE]","[WEB]"
"[STORE VIEW]","[ZOBRAZENÍ]"
"The current module XML block name is undefined.","Název XML bloku modulu není definován."
"The current module form model pathname is undefined.","Název cesty modelu bloku formuláře modulu není definován."
"No","Ne"
"Yes","Ano"
"Use helper with defined EAV entity.","Použít pomocníka s definovanou EAV entitou."
"Default EAV Form","Výchozí EAV formulář"
"Please correct the values for minimum and maximum text length validation rules.","Opravte hodnoty pro minimální a maximální délku ověřovacích pravidel."
"Please correct the values for minimum and maximum date validation rules.","Opravte hodnoty pro minimální a maximální datum ověřovacích pravidel."
"Text Field","Textové pole"
"Text Area","Textová oblast"
"Multiple Line","Vícenásobný řádek"
"Date","Datum"
"Dropdown","Rozbalovací seznam"
"Multiple Select","Vícenásobný výběr"
"Yes/No","Ano/ne"
"File (attachment)","Soubor (příloha)"
"Image File","Soubor obrázku"
"Alphanumeric","Alfanumericky"
"Numeric Only","Pouze numericky"
"Alpha Only","Pouze písmena"
"URL","URL"
"Email","E-mail"
"Strip HTML Tags","Odstranit HTML tagy"
"Escape HTML Entities","Eskapovat HTML entity"
"Normalize Date","Normalizovat datum"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","Kód atributu je neplatný. Použijte pouze písmena (a-z), číslice (0-9) nebo podtržítko (_), prvním znakem musí být písmeno."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Alphanumeric with spaces","Alphanumeric with spaces"
