"[GLOBAL]","[عام]"
"[WEBSITE]","[الموقع]"
"[STORE VIEW]","[عرض المتجر]"
"The current module XML block name is undefined.","اسم الوحدة النمطية الحالية في قائمة XML غير معرف."
"The current module form model pathname is undefined.","لم يتم تعريف اسم مسار نموذج نموذج الوحدة النمطية الحالية."
"No","لا"
"Yes","نعم"
"Use helper with defined EAV entity.","استخدم مساعد مع إيف كيانا محدداً."
"Default EAV Form","Default EAV Form"
"Please correct the values for minimum and maximum text length validation rules.","Please correct the values for minimum and maximum text length validation rules."
"Please correct the values for minimum and maximum date validation rules.","Please correct the values for minimum and maximum date validation rules."
"Text Field","حقل النص"
"Text Area","منطقة النص"
"Multiple Line","أسطر متعددة"
"Date","التاريخ"
"Dropdown","انزال"
"Multiple Select","خيارات متعددة"
"Yes/No","نعم/لا"
"File (attachment)","ملف (مرفق)"
"Image File","ملف الصورة"
"Alphanumeric","أبجدي رقمي"
"Numeric Only","ارقام فقط"
"Alpha Only","أحرف فقط"
"URL","الرابط"
"Email","البريد الإلكتروني"
"Strip HTML Tags","إزالة وسم HTML"
"Escape HTML Entities","Escape HTML Entities"
"Normalize Date","Normalize Date"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Alphanumeric with spaces","Alphanumeric with spaces"
