"[GLOBAL]","[GLOBALE]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISTA NEGOZIO]"
"The current module XML block name is undefined.","Il nome attuale del blocco XML del modulo non è definito."
"The current module form model pathname is undefined.","Il percorso del modello del form del modulo corrente non è definito."
"No","No"
"Yes","Sì"
"Use helper with defined EAV entity.","Usa helper con una entità EAV definita."
"Default EAV Form","Modulo EAV predefinito"
"Please correct the values for minimum and maximum text length validation rules.","Correggere i valori della lunghezza minima e massima nelle regole di validazione del testo."
"Please correct the values for minimum and maximum date validation rules.","Correggere il valore minimo e massimo nelle regole di validazione della data."
"Text Field","Campo di testo"
"Text Area","Area di testo"
"Multiple Line","Righe multiple"
"Date","Data"
"Dropdown","Menu a tendina"
"Multiple Select","Selezione multipla"
"Yes/No","Sì/No"
"File (attachment)","File (allegato)"
"Image File","File immagine"
"Alphanumeric","Alfanumerico"
"Numeric Only","Solo numerico"
"Alpha Only","Solo testuale"
"URL","URL"
"Email","Email"
"Strip HTML Tags","Rimuovi i tag HTML"
"Escape HTML Entities","Escape Entità HTML"
"Normalize Date","Normalizza data"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","Codice attributo non valido. In questo campo utilizzare solo lettere (a-z), numeri (0-9) o underscore (_). Il primo carattere deve essere una lettera."
"Please correct the value for file extensions.","Please correct the value for file extensions."
"Alphanumeric with spaces","Alphanumeric with spaces"
