"Custom Variables","Variabel Khusus"
"Add New Variable","Tambahkan Variabel Baru"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Custom Variable ""%1""","Variabel Ubahsuaian ""% 1"""
"New Custom Variable","Variabel Kustom Baru"
"Variable","Variabel"
"Variable Code","Kode variabel"
"Variable Name","Nama variabel"
"Use Default Variable Values","Gunakan Nilai Variabel Default"
"No","Tidak"
"Yes","Ya"
"Variable HTML Value","Nilai HTML Variabel"
"Variable Plain Value","Variabel Nilai polos"
"You deleted the custom variable.","Anda menghapus variabel khusus."
"You saved the custom variable.","Anda menyimpan variabel khusus."
"Variable Code must be unique.","Kode Variabel harus unik."
"Validation has failed.","Validasi telah gagal."
"%1","% 1"
"Insert Variable...","Sisipkan Variabel..."
"Variable ID","ID variabel"
"Name","Nama"
"Custom Variable","Custom Variable"
"Base URL","Base URL"
"Secure Base URL","Secure Base URL"
"Web","Web"
"Edit Variable","Edit Variable"
"Insert Variable","Insert Variable"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Select a different variable."
"Cancel","Cancel"
"Save","Save"
"Type","Type"
"Code","Code"
