"Custom Variables","Прилагођене варијабле"
"Add New Variable","Додај Ново Варијабла"
"Save and Continue Edit","Сачувај и настави уређивање"
"Custom Variable ""%1""","Прилагођена варијабла ""%1"""
"New Custom Variable","Ново Цустом Варијабла"
"Variable","Варијабла"
"Variable Code","Варијабла Код"
"Variable Name","Варијабла Назив"
"Use Default Variable Values","Усе Подразумевано Варијабла Валуес"
"No","Не"
"Yes","Да"
"Variable HTML Value","Варијабла ХТМЛ Вредност"
"Variable Plain Value","Варијабла Плаин Вредност"
"You deleted the custom variable.","You deleted the custom variable."
"You saved the custom variable.","You saved the custom variable."
"Variable Code must be unique.","Варијабла Код муст бе униqуе."
"Validation has failed.","Validation has failed."
"%1","%1"
"Insert Variable...","Убаци променљиву..."
"Variable ID","Варијабла ИД"
"Name","Име"
"Custom Variable","Прилагођена варијабла"
"Base URL","Основни УРЛ"
"Secure Base URL","Сигуран основни УРЛ"
"Web","Web"
"Edit Variable","Измени Варијабла"
"Insert Variable","Убаци променљиву"
"The variable %1 is no longer available. Select a different variable.","Тхе вариабле %1 ис но лонгер аваилабле. Изабери а дифферент вариабле."
"Cancel","Одустани"
"Save","Сачувај"
"Type","Тип"
"Code","Код"
