"Custom Variables","Prilagođene varijable"
"Add New Variable","Dodaj Novo Varijabla"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Custom Variable ""%1""","Prilagođena varijabla ""%1"""
"New Custom Variable","Novo Custom Varijabla"
"Variable","Varijabla"
"Variable Code","Varijabla Kod"
"Variable Name","Varijabla Naziv"
"Use Default Variable Values","Use Podrazumevano Varijabla Values"
"No","Ne"
"Yes","Da"
"Variable HTML Value","Varijabla HTML Vrednost"
"Variable Plain Value","Varijabla Plain Vrednost"
"You deleted the custom variable.","You deleted the custom variable."
"You saved the custom variable.","You saved the custom variable."
"Variable Code must be unique.","Varijabla Kod must be unique."
"Validation has failed.","Validation has failed."
"%1","%1"
"Insert Variable...","Ubaci promenljivu..."
"Variable ID","Varijabla ID"
"Name","Ime"
"Custom Variable","Prilagođena varijabla"
"Base URL","Osnovni URL"
"Secure Base URL","Siguran osnovni URL"
"Web","Web"
"Edit Variable","Izmeni Varijabla"
"Insert Variable","Ubaci promenljivu"
"The variable %1 is no longer available. Select a different variable.","The variable %1 is no longer available. Izaberi a different variable."
"Cancel","Odustani"
"Save","Sačuvaj"
"Type","Tip"
"Code","Kod"
