"No token found.","Nenhum arquivo encontrado."
"Wrong request.","Solicitação inválida."
"Deletion failure. Please try again.","Falha de exclusão. Por favor, tente novamente."
"Stored Payment Method was successfully removed","Método de pagamento armazenado foi removido com êxito"
"Stored Payment Methods","Métodos de Pagamento armazenados"
"No payment tokens are available for the specified order payment.","No payment tokens are available for the specified order payment."
"Card Number","Número do cartão"
"Expiration Date","Data de Validade"
"Type","Tipo"
"You have no stored payment methods.","Você tem não métodos de pagamento armazenados."
"ending","acabando em"
"Actions","Ações"
"Delete","Excluir"
"Are you sure you want to delete this card: %1?","Are you sure you want to delete this card: %1?"
"PayPal Account","Conta PayPal"
"expires","expires"
"Place Order","Place Order"
"Cancel","Cancelar"
