"No token found.","Nenhum token encontrado."
"Wrong request.","Pedido Errado."
"Deletion failure. Please try again.","Falha de exclusão. Por favor, tente novamente."
"Stored Payment Method was successfully removed","Stored Payment Method was successfully removed"
"Stored Payment Methods","Stored Payment Methods"
"No available payment tokens for specified order payment.","Nenhum tokens de pagamento disponíveis para ordem pagamento especificada."
"Card Number","Número do Cartão"
"Expiration Date","Data de validade"
"Type","Tipo"
"You have no stored payment methods.","You have no stored payment methods."
"ending","terminando"
"Actions","Ações"
"Delete","Eliminar"
"PayPal Account","Conta PayPal"
"Cancel","Cancelar"
"Are you sure you want to delete this card: %1?","Are you sure you want to delete this card: %1?"
