"No token found.","Aucun jeton trouvé."
"Wrong request.","Requête erronée."
"Deletion failure. Please try again.","Échec de la suppression. Veuillez réessayer."
"Stored Payment Method was successfully removed","Le mode de paiement enregistré a été supprimé avec succès"
"Stored Payment Methods","Modes de paiement enregistrés"
"No payment tokens are available for the specified order payment.","Aucun jeton de paiement n'est disponible pour le paiement de commande spécifié."
"Card Number","Numéro de carte"
"Expiration Date","Date d'expiration"
"Type","Type"
"You have no stored payment methods.","Vous n’avez aucun mode de paiement enregistré."
"ending","se terminant"
"Actions","Actions"
"Delete","Supprimer"
"Are you sure you want to delete this card: %1?","Êtes-vous sûr de vouloir supprimer cette carte : %1?"
"PayPal Account","Compte PayPal"
"expires","expire le"
"Place Order","Passez la commande"
"Cancel","Annuler"
