"No token found.","Не токен фоунд."
"Wrong request.","Wrong request."
"Deletion failure. Please try again.","Делетион фаилуре. Покушајте поново."
"Stored Payment Method was successfully removed","Сторед Плаћање Метход wас успешно ремовед"
"Stored Payment Methods","Сторед Плаћање Метходс"
"No available payment tokens for specified order payment.","Не аваилабле паyмент токенс фор специфиед ордер паyмент."
"Card Number","Card Number"
"Expiration Date","Датум истека"
"Type","Тип"
"You have no stored payment methods.","You have no stored payment methods."
"ending","крајњи"
"Actions","Радње"
"Delete","Обрисати"
"PayPal Account","ПаyПал налог"
"Cancel","Одустани"
"No payment tokens are available for the specified order payment.","Не паyмент токенс аре аваилабле фор тхе специфиед ордер паyмент."
"Credit Card was successfully removed","Цредит Цард wас успешно ремовед"
"My Credit Cards","My Credit Cards"
"You have no credit cards.","You have no credit cards."
