"No token found.","Nie znaleziono tokenu."
"Wrong request.","Nieprawidłowe żądanie."
"Deletion failure. Please try again.","Usuwanie awarii. Proszę spróbować ponownie."
"Stored Payment Method was successfully removed","Stored Payment Method was successfully removed"
"Stored Payment Methods","Zapamiętane metody płatności"
"No available payment tokens for specified order payment.","No available payment tokens for specified order payment."
"Card Number","Numer karty"
"Expiration Date","Data ważności"
"Type","Rodzaj"
"You have no stored payment methods.","Nie masz zapisanych metod płatności."
"ending","końcówka"
"Actions","Operacje"
"Delete","Usuń"
"PayPal Account","Konto PayPal"
"Cancel","Anuluj"
"Are you sure you want to delete this card: %1?","Are you sure you want to delete this card: %1?"
