"No token found.","Geen token gevonden."
"Wrong request.","Verkeerd verzoek."
"Deletion failure. Please try again.","Verwijderen mislukt. Probeer het opnieuw."
"Stored Payment Method was successfully removed","Opgeslagen betalingsmethode werd met succes verwijderd"
"Stored Payment Methods","Opgeslagen betalingsmethoden"
"No available payment tokens for specified order payment.","Geen beschikbare betaaltokens voor opgegeven volgorde betaling."
"Card Number","Kaartnummer"
"Expiration Date","Vervaldatum"
"Type","Soort"
"You have no stored payment methods.","Je hebt geen opgeslagen betaalmethoden."
"ending","einde"
"Actions","Acties"
"Delete","Verwijder"
"PayPal Account","PayPal-account"
"Cancel","Annuleer"
"No payment tokens are available for the specified order payment.","Er zijn geen betalingtokens beschikbaar voor de opgegeven betaling van de order."
"Credit Card was successfully removed","Creditkaart is succesvol verwijderd"
"My Credit Cards","Mijn creditcards"
"You have no credit cards.","Je hebt geen Creditkaarten."
